,project,n_file_metrics,median_Comment,mean_Comment,sd_Comment,25per_Comment,75per_Comment,max_Comment,median_Code,mean_Code,sd_Code,25per_Code,75per_Code,max_Code,median_Cyclomatic,mean_Cyclomatic,sd_Cyclomatic,25per_Cyclomatic,75per_Cyclomatic,max_Cyclomatic,median_Lines,mean_Lines,sd_Lines,25per_Lines,75per_Lines,max_Lines,median_Modified,mean_Modified,sd_Modified,25per_Modified,75per_Modified,max_Modified,median_Strict,mean_Strict,sd_Strict,25per_Strict,75per_Strict,max_Strict,median_Blank,mean_Blank,sd_Blank,25per_Blank,75per_Blank,max_Blank,median_Essential,mean_Essential,sd_Essential,25per_Essential,75per_Essential,max_Essential
10,madness,1367,0.0,5.724213606437455,28.316076128206905,0.0,2.0,603.0,14.0,32.868324798829555,101.22673728556869,4.0,37.0,3038.0,3.0,4.344550109729334,6.963443390265131,1.0,5.0,71.0,17.0,42.0087783467447,126.7447022254213,5.0,46.0,3641.0,3.0,4.247988295537674,6.7721185769566015,1.0,5.0,71.0,3.0,4.879297732260424,8.204964220923493,1.0,6.0,103.0,1.0,3.561082662765179,8.005518301642619,0.0,4.0,114.0,1.0,1.0724213606437454,1.9454173891308897,1.0,1.0,34.0
11,molcas,5420,12.0,26.14059040590406,42.220523337641794,2.0,33.0,910.0,40.0,74.46088560885609,102.90208467650784,18.0,90.0,1415.0,6.0,12.270848708487085,18.30494793883214,2.0,15.0,385.0,60.0,107.53118081180811,144.3474244663634,26.0,131.0,2003.0,6.0,12.241143911439114,18.10179039341369,2.0,15.0,344.0,6.0,12.27490774907749,18.305179771548218,2.0,15.0,385.0,1.0,7.712546125461254,21.00614654844654,0.0,6.0,303.0,1.0,2.876937269372694,7.250136550930354,1.0,1.0,241.0
12,mpqc,1787,0.0,2.1885842193620593,11.94006699956618,0.0,1.0,376.0,10.0,84.9082260772244,372.3763967043982,1.0,20.0,4160.0,1.0,3.1897034135422495,8.897597425461653,1.0,2.0,212.0,10.0,90.73698936765528,376.63316663412445,1.0,24.0,4161.0,1.0,3.1292669278119756,8.630110162795765,1.0,2.0,212.0,1.0,3.655288192501399,10.90310725322104,1.0,3.0,288.0,0.0,2.556799104644656,12.005760676133185,0.0,1.0,338.0,1.0,1.051482932288752,1.377157997132004,1.0,1.0,24.0
13,nwchem,1586,19.0,54.532786885245905,73.62068696329594,0.0,93.75,520.0,53.0,103.25788146279949,149.63881125477576,13.0,124.0,1402.0,8.0,26.530264817150062,46.362874351826655,2.0,31.0,336.0,90.0,170.35119798234552,212.58542967530926,19.0,240.75,1546.0,8.0,26.51954602774275,46.36632285737444,2.0,31.0,336.0,8.0,26.708070617906685,46.42326076301998,2.0,31.0,336.0,0.0,11.578814627994955,27.63930187812447,0.0,5.0,216.0,2.0,5.26796973518285,16.712131502159014,1.0,4.0,308.0
14,openmm,1032,0.0,0.7141472868217055,1.763591655751709,0.0,1.0,30.0,4.0,14.821705426356589,42.024578206358676,2.0,19.0,662.0,1.0,3.0920542635658914,4.467606745664845,1.0,4.0,49.0,4.0,16.774224806201552,43.86274326499858,2.0,22.25,668.0,1.0,3.061046511627907,4.367585619239138,1.0,4.0,49.0,1.0,3.441860465116279,5.14960580901787,1.0,5.0,53.0,0.0,1.1637596899224807,2.435854990914573,0.0,1.25,34.0,1.0,1.064922480620155,2.563008165657006,1.0,1.0,49.0
15,openmpi,4691,0.0,3.403325516947346,9.578125711060242,0.0,3.0,303.0,13.0,23.078234917927947,39.133450231650606,0.0,30.0,715.0,2.0,5.648049456405883,10.932433794353205,1.0,7.0,336.0,18.0,31.394372202089105,53.488034274392824,0.0,40.0,950.0,2.0,5.524195267533575,10.736900123979463,1.0,7.0,336.0,3.0,6.33276486889789,12.121238598772361,1.0,8.0,336.0,2.0,3.694095075676828,6.043481861771404,0.0,5.0,87.0,1.0,2.374120656576423,3.809269869648236,1.0,3.0,69.0
16,openmx,139,0.0,1.474820143884892,4.482382478638863,0.0,1.0,33.0,6.0,14.748201438848922,24.741297262269775,0.0,21.0,206.0,2.0,3.553956834532374,5.229754146506875,0.0,5.0,28.0,6.0,19.33812949640288,45.905472181277126,0.0,23.5,482.0,1.0,3.3597122302158273,5.038988848195702,0.0,5.0,27.0,2.0,4.0071942446043165,6.0916864265954,0.0,5.0,39.0,0.0,1.6258992805755397,3.416230190490648,0.0,2.0,23.0,1.0,1.2014388489208634,2.1168059618040336,0.0,1.0,17.0
17,pcmsolver,621,0.0,3.037037037037037,9.822796736307822,0.0,2.0,128.0,6.0,17.095008051529792,36.10547707814228,3.0,15.0,477.0,1.0,5.793880837359098,18.135227559214332,1.0,3.0,190.0,7.0,21.782608695652176,47.223484660773515,3.0,19.0,485.0,1.0,5.77938808373591,18.132343947882454,1.0,3.0,190.0,2.0,6.676328502415459,21.335867953684787,1.0,3.0,226.0,0.0,1.7552334943639292,4.504262406257511,0.0,1.0,58.0,1.0,1.040257648953301,0.9122760960616206,1.0,1.0,13.0
18,plumed,695,0.0,1.3352517985611512,6.210858569120115,0.0,1.0,109.0,6.0,12.526618705035972,32.186534352017425,3.0,12.0,476.0,2.0,3.1093525179856116,5.929908709542323,1.0,3.0,84.0,7.0,15.087769784172663,41.9833857293052,3.0,14.0,627.0,2.0,3.079136690647482,5.887838230036172,1.0,3.0,84.0,2.0,3.470503597122302,7.846982691079016,1.0,4.0,134.0,0.0,1.0589928057553957,3.8536971459926304,0.0,1.0,60.0,1.0,1.041726618705036,1.2725147718055514,1.0,1.0,26.0
19,psi4,1812,3.0,14.262693156732892,73.20189458303126,0.0,13.0,2883.0,27.0,83.84492273730685,146.6938977133441,6.0,96.25,1411.0,4.0,11.227373068432671,20.984287491662602,1.0,12.0,349.0,47.0,207.88465783664458,2466.5600084894677,13.0,141.0,102795.0,4.0,11.109823399558499,20.55745937405169,1.0,12.0,326.0,4.0,13.07008830022075,25.77805386707589,1.0,13.0,373.0,5.0,16.770419426048566,35.67322467694988,0.0,18.0,463.0,1.0,1.3233995584988962,2.1102269785510694,1.0,1.0,58.0
20,trilinos,25895,0.0,3.353543155049237,14.189272587757587,0.0,1.0,810.0,3.0,18.83120293492952,55.80798796187969,0.0,14.0,2247.0,1.0,3.4429812705155434,10.698421741959116,0.0,3.0,524.0,3.0,27.054527901139217,82.03500228942379,0.0,19.0,3421.0,1.0,3.3628885885306046,10.557614894094746,0.0,3.0,524.0,1.0,3.8098474608997877,12.156321497391248,0.0,3.0,647.0,0.0,3.581965630430585,11.547578022981998,0.0,2.0,279.0,1.0,0.9278239042286156,2.455175529415902,0.0,1.0,134.0
21,forcebalance,119,2.0,4.2100840336134455,6.592077872025224,0.0,6.0,46.0,11.0,14.067226890756302,13.106300136256747,4.0,21.5,63.0,3.0,3.764705882352941,3.416574462356925,1.0,5.0,23.0,18.0,25.30252100840336,25.23266467244418,10.0,30.5,178.0,3.0,3.764705882352941,3.416574462356925,1.0,5.0,23.0,3.0,3.764705882352941,3.416574462356925,1.0,5.0,23.0,0.0,1.4201680672268908,2.9241710351312338,0.0,2.0,22.0,1.0,1.3781512605042017,0.8732522170332477,1.0,1.0,6.0
22,mdanalysis,327,0.0,4.418960244648318,9.908105754976019,0.0,5.0,94.0,5.0,9.021406727828746,11.7766601545351,3.0,11.0,74.0,1.0,1.7951070336391437,2.079163478593554,1.0,2.0,19.0,7.0,18.31804281345566,30.802703029914138,4.0,20.0,325.0,1.0,1.7951070336391437,2.079163478593554,1.0,2.0,19.0,1.0,1.7951070336391437,2.079163478593554,1.0,2.0,19.0,0.0,1.6758409785932722,4.111050178449133,0.0,2.0,40.0,1.0,1.1131498470948011,0.8701129178140669,1.0,1.0,10.0
23,openmmtools,6059,0.0,3.246245254992573,6.745853330313533,0.0,4.0,103.0,7.0,13.658854596468064,26.543080751163316,0.0,15.0,578.0,1.0,3.1298894206964847,5.46136188078765,1.0,3.0,84.0,13.0,64.95428288496451,1473.330792464418,6.0,29.0,102795.0,1.0,3.1298894206964847,5.46136188078765,1.0,3.0,84.0,1.0,3.1298894206964847,5.46136188078765,1.0,3.0,84.0,0.0,1.6273312427793365,3.977912647407604,0.0,2.0,81.0,1.0,1.2589536227100182,1.6701752213617704,1.0,1.0,30.0
24,foyer,19,0.0,2.526315789473684,4.811657384272672,0.0,2.5,18.0,8.0,9.736842105263158,7.950137002754928,6.0,12.5,31.0,2.0,2.473684210526316,2.143942916234053,1.0,3.0,8.0,10.0,15.157894736842104,11.378650368586177,6.0,23.0,41.0,2.0,2.473684210526316,2.143942916234053,1.0,3.0,8.0,2.0,2.473684210526316,2.143942916234053,1.0,3.0,8.0,1.0,1.0,1.247219128924647,0.0,1.0,4.0,1.0,1.2105263157894737,0.7132825035177587,1.0,1.5,3.0
25,yank,52,4.0,7.788461538461538,10.906620652489718,1.0,10.25,60.0,12.0,15.923076923076923,19.612767104214615,7.0,16.25,112.0,2.0,2.230769230769231,1.843008884846442,1.0,3.0,11.0,19.0,25.403846153846153,25.138252716187854,11.5,30.5,144.0,2.0,2.230769230769231,1.843008884846442,1.0,3.0,11.0,2.0,2.230769230769231,1.843008884846442,1.0,3.0,11.0,1.5,2.8846153846153846,4.32799299659579,0.0,3.0,21.0,1.0,1.1538461538461537,0.9778851808099263,1.0,1.0,7.0
26,pyscf,33,0.0,4.0,6.408002808988148,0.0,6.0,24.0,4.0,8.272727272727273,9.58277336967464,0.0,15.0,29.0,2.0,2.4242424242424243,1.9530473469411693,1.0,4.0,7.0,18.0,19.727272727272727,16.403644273591933,6.0,29.0,71.0,2.0,2.4242424242424243,1.9530473469411693,1.0,4.0,7.0,2.0,2.4242424242424243,1.9530473469411693,1.0,4.0,7.0,0.0,1.5151515151515151,2.0174428759139023,0.0,3.0,6.0,1.0,0.8787878787878788,0.5998737240857319,1.0,1.0,3.0
27,mdtraj,6059,0.0,3.246245254992573,6.745853330313533,0.0,4.0,103.0,7.0,13.658854596468064,26.543080751163316,0.0,15.0,578.0,1.0,3.1298894206964847,5.46136188078765,1.0,3.0,84.0,13.0,64.95428288496451,1473.330792464418,6.0,29.0,102795.0,1.0,3.1298894206964847,5.46136188078765,1.0,3.0,84.0,1.0,3.1298894206964847,5.46136188078765,1.0,3.0,84.0,0.0,1.6273312427793365,3.977912647407604,0.0,2.0,81.0,1.0,1.2589536227100182,1.6701752213617704,1.0,1.0,30.0
28,cctools,624,0.0,0.7227564102564102,2.2815601301668975,0.0,0.0,27.0,9.0,14.522435897435898,19.32378859369616,0.0,22.0,129.0,2.0,3.983974358974359,7.3443003466637995,0.0,5.0,84.0,11.0,17.58653846153846,23.91784114583024,0.0,25.25,160.0,2.0,3.6314102564102564,6.6312195565629155,0.0,5.0,84.0,2.0,4.285256410256411,7.780209527209294,0.0,6.0,86.0,0.0,2.2868589743589745,3.5159924115654437,0.0,3.0,23.0,1.0,2.0528846153846154,4.24249971887738,0.0,2.0,52.0
29,openforcefield,33,0.0,4.0,6.408002808988148,0.0,6.0,24.0,4.0,8.272727272727273,9.58277336967464,0.0,15.0,29.0,2.0,2.4242424242424243,1.9530473469411693,1.0,4.0,7.0,18.0,19.727272727272727,16.403644273591933,6.0,29.0,71.0,2.0,2.4242424242424243,1.9530473469411693,1.0,4.0,7.0,2.0,2.4242424242424243,1.9530473469411693,1.0,4.0,7.0,0.0,1.5151515151515151,2.0174428759139023,0.0,3.0,6.0,1.0,0.8787878787878788,0.5998737240857319,1.0,1.0,3.0
30,quantum_package,357,3.0,9.27170868347339,15.390665879990475,1.0,12.0,104.0,40.0,103.47899159663865,186.81949989375656,20.0,92.0,2210.0,5.0,14.210084033613445,22.549274615097396,2.0,15.0,91.0,50.0,123.85434173669468,204.32889895654262,26.0,120.0,2264.0,5.0,14.201680672268907,22.54978754923693,2.0,15.0,91.0,5.0,14.210084033613445,22.549274615097396,2.0,15.0,91.0,6.0,12.327731092436975,16.20381556728913,2.0,14.0,109.0,1.0,4.518207282913165,7.078439262656376,1.0,5.0,61.0
31,pymatgen,464,1.0,2.855603448275862,4.509008365319297,0.0,5.0,39.0,9.0,11.676724137931034,11.811286894358362,4.0,15.0,80.0,1.0,1.9913793103448276,2.750207342366626,1.0,2.0,26.0,13.0,16.939655172413794,16.131366112856476,7.0,22.0,108.0,1.0,1.9913793103448276,2.750207342366626,1.0,2.0,26.0,1.0,1.9913793103448276,2.750207342366626,1.0,2.0,26.0,0.0,1.2112068965517242,1.9909632365689685,0.0,2.0,18.0,1.0,1.1487068965517242,1.3870266099511552,1.0,1.0,20.0
32,mast,798,2.0,4.9411027568922306,6.8326685772501765,0.0,8.0,55.0,11.0,26.69172932330827,43.38679822529922,0.0,39.0,326.0,2.0,5.4072681704260654,8.60178834113936,0.0,7.0,56.0,17.0,31.045112781954888,44.188747324831795,0.0,44.75,302.0,2.0,5.4072681704260654,8.60178834113936,0.0,7.0,56.0,2.0,5.4072681704260654,8.60178834113936,0.0,7.0,56.0,0.0,0.8333333333333334,2.6688484383000244,0.0,0.0,18.0,1.0,0.9987468671679198,1.3352656805765024,0.0,1.0,12.0
33,scirun,4540,0.0,1.6083700440528634,8.286291749775549,0.0,1.0,161.0,5.0,15.135903083700441,31.19481299420489,0.0,15.0,529.0,1.0,2.9713656387665197,5.832581593831146,0.0,3.0,123.0,6.0,19.117400881057268,41.4350063886078,0.0,19.0,632.0,1.0,2.910352422907489,5.676187460236497,0.0,3.0,123.0,1.0,3.3651982378854624,6.763601854856726,0.0,3.0,123.0,0.0,1.9711453744493392,4.933334376337089,0.0,2.0,73.0,1.0,1.3601321585903083,2.3174094181346234,0.0,1.0,44.0
34,signac,80,0.0,1.275,3.482233387797063,0.0,1.0,22.0,4.0,4.85,5.5804813548562935,0.0,8.0,31.0,2.0,1.8625,0.9378638534429913,1.0,2.0,5.0,8.0,9.9375,7.863300028726626,6.0,11.0,45.0,2.0,1.8625,0.9378638534429913,1.0,2.0,5.0,2.0,1.8625,0.9378638534429913,1.0,2.0,5.0,0.0,0.2875,0.8886592090747824,0.0,0.0,6.0,1.0,1.125,0.4871773518462232,1.0,1.0,3.0
35,signac_flow,50,1.0,2.96,4.703277190059141,0.0,3.0,24.0,7.0,10.58,11.375035321766196,3.25,12.75,57.0,2.0,2.16,1.5301060387423868,1.0,3.0,8.0,9.0,14.54,12.434661890318154,5.25,21.0,49.0,2.0,2.16,1.5301060387423868,1.0,3.0,8.0,2.0,2.16,1.5301060387423868,1.0,3.0,8.0,0.0,1.14,1.8845234335047605,0.0,2.0,8.0,1.0,1.32,0.7406560798180412,1.0,1.0,4.0
36,luigi,223,0.0,1.0089686098654709,1.657608804712581,0.0,1.5,9.0,5.0,5.690582959641255,3.6819808516558816,3.0,7.0,20.0,1.0,1.2152466367713004,0.6284119891325153,1.0,1.0,4.0,7.0,7.816143497757848,5.177681610740324,5.0,10.0,31.0,1.0,1.2152466367713004,0.6284119891325153,1.0,1.0,4.0,1.0,1.2152466367713004,0.6284119891325153,1.0,1.0,4.0,0.0,0.42152466367713004,0.6724189278114151,0.0,1.0,3.0,1.0,0.9641255605381166,0.3127400302261898,1.0,1.0,3.0
37,parsl,183,0.0,1.0601092896174864,2.174197840980994,0.0,1.0,12.0,5.0,5.273224043715847,5.263568963141681,0.0,8.0,27.0,1.0,1.4262295081967213,0.7871010182756949,1.0,2.0,5.0,9.0,10.491803278688524,7.609182460641213,5.0,14.0,40.0,1.0,1.4262295081967213,0.7871010182756949,1.0,2.0,5.0,1.0,1.4262295081967213,0.7871010182756949,1.0,2.0,5.0,0.0,0.8415300546448088,1.4188766094636152,0.0,1.0,10.0,1.0,0.9617486338797814,0.3032084877066508,1.0,1.0,3.0
38,rmg-py,401,1.0,3.039900249376559,5.321973693097791,0.0,4.0,50.0,6.0,10.521197007481296,16.197690408314113,0.0,15.0,147.0,1.0,2.516209476309227,3.4799944821809667,1.0,2.0,23.0,20.0,194.0149625935162,2163.7300790014365,10.0,42.0,42340.0,1.0,2.516209476309227,3.4799944821809667,1.0,2.0,23.0,1.0,2.516209476309227,3.4799944821809667,1.0,2.0,23.0,0.0,1.7605985037406484,3.4485567475246444,0.0,3.0,28.0,1.0,1.3516209476309227,1.5308669491370241,1.0,1.0,21.0
39,hydroshare,687,0.0,2.0,4.276861605138092,0.0,2.0,68.0,2.0,11.885007278020378,21.300704062295914,0.0,17.0,203.0,1.0,1.480349344978166,2.5266753862571645,0.0,1.0,24.0,5.0,17.726346433770015,35.31942026294759,0.0,24.0,488.0,1.0,1.480349344978166,2.5266753862571645,0.0,1.0,24.0,1.0,1.480349344978166,2.5266753862571645,0.0,1.0,24.0,0.0,1.6506550218340612,3.5051310172191816,0.0,2.0,30.0,1.0,0.8020378457059679,1.1873219657955707,0.0,1.0,16.0
40,taudem,107,6.0,20.50467289719626,45.115862129564604,0.5,26.0,384.0,89.0,100.17757009345794,90.72546324396643,27.0,153.0,522.0,14.0,15.94392523364486,14.022106384778834,5.0,23.5,73.0,100.0,130.50467289719626,138.3579152553517,32.5,185.0,813.0,14.0,15.906542056074766,14.005075030468907,5.0,23.5,73.0,14.0,17.878504672897197,16.49854783796957,6.0,25.5,84.0,7.0,13.177570093457945,18.684981904107723,2.0,19.5,120.0,3.0,6.392523364485982,7.358420935696855,1.0,11.0,30.0
41,goofit,272,0.0,0.39338235294117646,1.2040952387754367,0.0,0.0,10.0,3.0,12.264705882352942,70.5455007751591,0.0,8.0,1131.0,1.0,1.025735294117647,1.101525029641565,0.0,1.0,7.0,4.0,13.863970588235293,72.83682331027836,0.0,9.0,1157.0,1.0,1.025735294117647,1.101525029641565,0.0,1.0,7.0,1.0,1.0404411764705883,1.143818856228038,0.0,1.0,8.0,0.0,1.1801470588235294,3.294954654855798,0.0,1.0,35.0,1.0,0.7757352941176471,0.5201470589002403,0.0,1.0,4.0
42,changa,113,0.0,1.9557522123893805,3.8553983037956323,0.0,3.0,28.0,9.0,16.088495575221238,21.20543963321503,2.0,23.0,118.0,1.0,2.8849557522123894,3.324025669246609,1.0,4.0,20.0,12.0,21.75221238938053,27.276537200839364,2.0,36.0,133.0,1.0,2.84070796460177,3.1835693458797603,1.0,4.0,18.0,1.0,3.1415929203539825,3.7769679275397237,1.0,5.0,24.0,0.0,1.8849557522123894,3.6638977400864188,0.0,2.0,26.0,1.0,1.2300884955752212,1.5236753588745426,1.0,1.0,9.0
43,metpy,95,1.0,4.410526315789474,7.9646756513170756,0.0,5.0,37.0,5.0,5.536842105263158,5.281059142472596,0.0,8.5,20.0,1.0,1.3789473684210527,0.8401994110875926,1.0,1.0,5.0,18.0,33.14736842105263,84.59414602012045,8.0,32.0,742.0,1.0,1.3789473684210527,0.8401994110875926,1.0,1.0,5.0,1.0,1.3789473684210527,0.8401994110875926,1.0,1.0,5.0,0.0,1.568421052631579,2.71188335114001,0.0,2.0,13.0,1.0,1.0210526315789474,0.20519567041703082,1.0,1.0,2.0
44,elasticsearch,8973,0.0,0.5707121364092277,1.680126392099527,0.0,0.0,65.0,6.0,8.39930903822579,8.923863545774191,3.0,10.0,257.0,1.0,1.352613395742784,1.274266514949821,1.0,1.0,32.0,7.0,9.718600245179985,10.472425555479289,4.0,12.0,273.0,1.0,1.3204056614287307,1.1817565590259094,1.0,1.0,32.0,1.0,1.4220439095062967,1.5538598953997873,1.0,2.0,61.0,0.0,0.4037668561239273,1.3229242137347355,0.0,0.0,23.0,1.0,0.9974367547085702,0.631762659282466,1.0,1.0,31.0
45,galaxy,1445,1.0,1.9363321799307958,3.0360418721899873,0.0,3.0,30.0,9.0,12.929411764705883,14.00946454911495,5.0,16.0,163.0,2.0,2.447750865051903,2.5047469047794766,1.0,3.0,29.0,12.0,15.66159169550173,35.36177802529421,6.0,18.0,1210.0,2.0,2.447750865051903,2.5047469047794766,1.0,3.0,29.0,2.0,2.447750865051903,2.5047469047794766,1.0,3.0,29.0,0.0,0.7799307958477508,1.7956584285112158,0.0,1.0,19.0,1.0,1.241522491349481,0.9284323346816565,1.0,1.0,13.0
46,abaco,88,0.0,1.2840909090909092,2.253726740651049,0.0,2.0,13.0,7.0,9.965909090909092,13.204360881560724,3.75,11.25,96.0,2.0,2.022727272727273,1.604428302430013,1.0,2.0,8.0,9.0,12.431818181818182,14.339716932829901,5.0,12.25,89.0,2.0,2.022727272727273,1.604428302430013,1.0,2.0,8.0,2.0,2.022727272727273,1.604428302430013,1.0,2.0,8.0,0.0,0.4090909090909091,1.130927435870119,0.0,0.0,5.0,1.0,1.1818181818181819,0.6350935227619059,1.0,1.0,4.0
47,cyclus,303,0.0,0.31353135313531355,0.9371199387713747,0.0,0.0,9.0,4.0,6.732673267326732,10.513212521963261,2.0,8.0,109.0,1.0,2.277227722772277,3.064814672663251,1.0,3.0,32.0,5.0,7.4983498349834985,11.722473629589256,2.0,10.0,119.0,1.0,2.257425742574257,3.0578965155152042,1.0,3.0,32.0,2.0,2.3234323432343236,3.1822685639528663,1.0,3.0,32.0,0.0,0.4884488448844885,1.0511891263365176,0.0,1.0,9.0,1.0,0.9966996699669967,0.7741620115319715,1.0,1.0,8.0
48,irods,1049,0.0,1.13441372735939,2.846259039424563,0.0,1.0,28.0,3.0,13.783603431839847,29.581461435618948,0.0,21.0,579.0,1.0,2.2545281220209725,4.984234782377246,0.0,3.0,114.0,3.0,16.829361296472833,34.55886746260322,0.0,27.0,669.0,1.0,2.198284080076263,4.101614478180324,0.0,3.0,69.0,1.0,2.469018112488084,5.4089658294481096,0.0,3.0,116.0,0.0,1.9551954242135368,3.9807377553954684,0.0,3.0,77.0,1.0,1.3918017159199236,3.2152382728944993,0.0,1.0,80.0
