,project,n_file_metrics,median_Comment,mean_Comment,sd_Comment,25per_Comment,75per_Comment,max_Comment,median_Code,mean_Code,sd_Code,25per_Code,75per_Code,max_Code,median_Cyclomatic,mean_Cyclomatic,sd_Cyclomatic,25per_Cyclomatic,75per_Cyclomatic,max_Cyclomatic,median_Lines,mean_Lines,sd_Lines,25per_Lines,75per_Lines,max_Lines,median_Modified,mean_Modified,sd_Modified,25per_Modified,75per_Modified,max_Modified,median_Strict,mean_Strict,sd_Strict,25per_Strict,75per_Strict,max_Strict,median_Blank,mean_Blank,sd_Blank,25per_Blank,75per_Blank,max_Blank,median_Essential,mean_Essential,sd_Essential,25per_Essential,75per_Essential,max_Essential
0,ambermd,839,0.0,1.567342073897497,3.034398096044779,0.0,2.0,28.0,2.0,11.414779499404052,15.479590718096205,1.0,18.0,101.0,1.0,3.1799761620977356,3.7057369571533894,1.0,5.0,28.0,2.0,14.046483909415972,19.79818182894933,1.0,22.0,115.0,1.0,3.104886769964243,3.5516593258471825,1.0,4.0,23.0,1.0,3.4457687723480332,4.196725976876529,1.0,5.0,30.0,0.0,0.4564958283671037,1.2243366026666667,0.0,0.0,16.0,1.0,1.6269368295589988,1.6768219271112272,1.0,2.0,18.0
1,abinit,26,10.0,11.26923076923077,8.9913633774092,3.25,15.75,30.0,26.5,35.34615384615385,25.91207024950698,19.5,48.5,113.0,4.0,5.076923076923077,4.068641807021866,2.0,7.0,18.0,54.5,55.11538461538461,32.736923402270925,36.5,61.0,160.0,4.0,5.076923076923077,4.068641807021866,2.0,7.0,18.0,4.0,5.076923076923077,4.068641807021866,2.0,7.0,18.0,8.0,8.807692307692308,10.729470558305216,3.25,9.0,56.0,1.0,1.7307692307692308,1.5377305955905882,1.0,2.5,8.0
2,acemd,178,3.0,4.544943820224719,6.503428235199134,0.0,6.0,44.0,11.5,14.146067415730338,14.538902080726162,5.0,18.0,87.0,2.0,2.966292134831461,3.305360953484376,1.0,4.0,30.0,17.0,21.280898876404493,17.24269354084183,11.0,29.75,90.0,2.0,2.966292134831461,3.305360953484376,1.0,4.0,30.0,2.0,2.966292134831461,3.305360953484376,1.0,4.0,30.0,1.0,2.303370786516854,3.1850799576018325,0.0,3.0,19.0,1.0,1.4887640449438202,1.4738349379210187,1.0,2.0,10.0
3,apbs,528,1.0,2.492424242424242,4.854225979641098,0.0,3.0,60.0,8.0,10.941287878787879,13.31355759350319,4.0,13.0,134.0,2.0,2.462121212121212,2.615543388796356,1.0,3.0,25.0,10.0,15.704545454545455,19.555589478941762,6.0,19.0,172.0,2.0,2.462121212121212,2.615543388796356,1.0,3.0,25.0,2.0,2.462121212121212,2.615543388796356,1.0,3.0,25.0,1.0,1.4602272727272727,3.255462428269351,0.0,2.0,41.0,1.0,1.2386363636363635,0.786426378094506,1.0,1.0,11.0
4,blis,1448,0.0,7.638121546961326,29.99447513847319,0.0,2.0,596.0,0.0,25.23549723756906,71.76168372103754,0.0,16.0,998.0,0.0,2.8977900552486187,6.488566997271167,0.0,3.0,65.0,0.0,38.043508287292816,101.30738413778964,0.0,22.25,1004.0,0.0,2.8743093922651934,6.437897701935701,0.0,3.0,65.0,0.0,3.2790055248618786,7.527846566180138,0.0,3.0,71.0,0.0,5.705801104972376,18.49523503271837,0.0,2.0,227.0,0.0,0.6878453038674033,1.3056959044847685,0.0,1.0,20.0
5,dealii,13033,0.0,1.566638532954807,11.936354052595673,0.0,1.0,680.0,5.0,12.119235786081486,22.11479951412078,0.0,18.0,593.0,1.0,1.8615821376505792,3.8631069513278176,0.0,2.0,127.0,6.0,15.667612982429219,35.08563156499102,0.0,22.0,1032.0,1.0,1.8455459218905854,3.8390149657245303,0.0,2.0,127.0,1.0,2.0478017340596946,5.499282973516784,0.0,2.0,276.0,0.0,1.8208394076574848,4.365887950338511,0.0,3.0,130.0,1.0,0.7072047878462365,1.066708874568537,0.0,1.0,48.0
6,elasticsearch,8973,0.0,0.5707121364092277,1.680126392099527,0.0,0.0,65.0,6.0,8.39930903822579,8.923863545774191,3.0,10.0,257.0,1.0,1.352613395742784,1.274266514949821,1.0,1.0,32.0,7.0,9.718600245179985,10.472425555479289,4.0,12.0,273.0,1.0,1.3204056614287307,1.1817565590259094,1.0,1.0,32.0,1.0,1.4220439095062967,1.5538598953997873,1.0,2.0,61.0,0.0,0.4037668561239273,1.3229242137347355,0.0,0.0,23.0,1.0,0.9974367547085702,0.631762659282466,1.0,1.0,31.0
7,hoomd,597,0.0,1.9045226130653266,4.854866407410185,0.0,3.0,95.0,9.0,15.195979899497488,18.537648538632865,3.0,22.0,205.0,1.0,1.9547738693467336,2.6201909910637458,1.0,2.0,34.0,12.0,20.75041876046901,27.073409166278786,4.0,31.0,315.0,1.0,1.9262981574539364,2.5726873106153607,1.0,2.0,34.0,1.0,2.7855946398659968,4.659290371751193,1.0,3.0,68.0,1.0,2.557788944723618,4.875162410202426,0.0,4.0,86.0,1.0,0.9865996649916248,1.5281984817195995,1.0,1.0,27.0
8,lammps,5344,0.0,0.9723053892215568,3.3565326283750334,0.0,1.0,140.0,1.0,12.637911676646707,30.1974113660218,0.0,17.0,908.0,1.0,2.507110778443114,5.026110558487419,0.0,3.0,113.0,1.0,16.743637724550897,55.836642405899184,0.0,21.0,2839.0,1.0,2.475673652694611,4.933031544586543,0.0,3.0,113.0,1.0,2.809131736526946,5.849208062315151,0.0,4.0,131.0,0.0,2.3334580838323356,9.665409164866057,0.0,2.0,534.0,1.0,0.7372754491017964,1.2002506702545728,0.0,1.0,40.0
9,libmesh,5595,0.0,3.6389633601429847,13.796147936593046,0.0,1.0,244.0,3.0,24.24146559428061,107.2071984860104,0.0,16.0,6028.0,1.0,7.7063449508489725,78.09300502486617,0.0,3.0,5211.0,4.0,34.4343163538874,134.91627100085387,0.0,23.0,6720.0,1.0,7.340840035746202,77.99724633494033,0.0,3.0,5211.0,1.0,8.31385165326184,80.01162196205229,0.0,3.0,5211.0,0.0,4.270062555853441,18.95793914082713,0.0,2.0,662.0,1.0,3.7319034852546915,38.97097885052985,0.0,1.0,2605.0
