,project,n_oo_metrics,median_LCOM,mean_LCOM,sd_LCOM,25per_LCOM,75per_LCOM,max_LCOM,median_NIM,mean_NIM,sd_NIM,25per_NIM,75per_NIM,max_NIM,median_CBO,mean_CBO,sd_CBO,25per_CBO,75per_CBO,max_CBO,median_IFANIN,mean_IFANIN,sd_IFANIN,25per_IFANIN,75per_IFANIN,max_IFANIN,median_RFC,mean_RFC,sd_RFC,25per_RFC,75per_RFC,max_RFC,median_WMC,mean_WMC,sd_WMC,25per_WMC,75per_WMC,max_WMC,median_DIT,mean_DIT,sd_DIT,25per_DIT,75per_DIT,max_DIT,median_NOC,mean_NOC,sd_NOC,25per_NOC,75per_NOC,max_NOC,median_NIV,mean_NIV,sd_NIV,25per_NIV,75per_NIV,max_NIV
10,nwchem,15,91.0,86.4,10.18261824314917,85.0,92.5,95.0,12.0,14.866666666666667,8.166715257387029,11.0,15.0,37.0,3.0,2.7333333333333334,2.016597794967223,2.0,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.6,8.095854318282731,12.0,15.5,37.0,13.0,15.6,8.095854318282731,12.0,15.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,6.131883886702357,1.0,4.0,20.0
11,openmm,888,33.0,31.38400900900901,29.763972928247078,0.0,52.0,100.0,5.0,7.054054054054054,8.863197117307847,3.0,8.0,102.0,4.0,5.545045045045045,7.415073331536318,1.0,8.0,86.0,1.0,0.7015765765765766,0.4578241180884716,0.0,1.0,1.0,13.0,13.61936936936937,11.980129492030756,5.0,17.0,147.0,5.0,7.315315315315315,8.97709170882846,3.0,8.0,102.0,1.0,0.9211711711711712,0.7313883740916738,0.0,1.0,4.0,0.0,0.6959459459459459,3.863205643179542,0.0,0.0,53.0,2.0,5.096846846846847,9.13099403423201,0.0,6.0,104.0
12,openmpi,18,62.5,51.666666666666664,39.21434311425289,7.0,90.0,100.0,15.5,21.444444444444443,18.893578810311134,10.75,21.0,77.0,0.5,1.5,2.431412080640045,0.0,1.75,8.0,0.0,0.3888888888888889,0.5016313257045503,0.0,1.0,1.0,33.0,47.77777777777778,39.21667645808733,16.5,79.75,118.0,16.0,24.555555555555557,21.671945058401636,10.75,27.5,80.0,0.0,0.7222222222222222,1.0740552924509195,0.0,1.0,3.0,0.0,0.3333333333333333,0.6859943405700354,0.0,0.0,2.0,1.0,0.7777777777777778,0.7320844981409597,0.0,1.0,3.0
13,openmx,102,43.5,39.27450980392157,35.65654560956282,0.0,72.75,98.0,4.0,7.990196078431373,10.200461160259602,2.0,11.5,60.0,4.0,5.598039215686274,6.026771632912482,1.0,9.0,28.0,0.0,0.47058823529411764,0.5576805280313899,0.0,1.0,2.0,11.5,13.362745098039216,12.966666491993218,2.25,20.75,62.0,4.0,8.07843137254902,10.327015685113981,2.0,11.5,62.0,0.0,0.49019607843137253,0.5927799591623092,0.0,1.0,2.0,0.0,0.4019607843137255,1.9913665337436577,0.0,0.0,18.0,5.0,9.980392156862745,12.79076120181743,1.0,13.0,56.0
14,pcmsolver,563,19.0,30.644760213143872,33.75595247475602,0.0,60.0,100.0,5.0,9.262877442273535,11.501747827764865,3.0,11.0,97.0,2.0,2.438721136767318,3.0296975757894735,0.0,3.0,18.0,1.0,0.7619893428063943,0.667105304603933,0.0,1.0,4.0,13.0,21.80106571936057,22.52154837507794,7.0,34.0,118.0,5.0,9.47246891651865,11.870769391983906,3.0,12.0,102.0,1.0,1.0568383658969804,1.1304434712976408,0.0,1.0,5.0,0.0,0.4689165186500888,1.9487225668331178,0.0,0.0,36.0,1.0,2.7655417406749554,4.371749226399144,0.0,3.0,40.0
15,plumed,839,0.0,24.75685339690107,31.413676811272257,0.0,50.0,96.0,2.0,6.381406436233611,12.875665283476826,2.0,6.0,176.0,3.0,5.4219308700834326,4.634960598729895,3.0,7.0,45.0,1.0,0.5733015494636472,0.6510886373856326,0.0,1.0,5.0,18.0,68.43027413587605,90.35151237708702,3.0,123.0,297.0,3.0,7.3253873659118,13.17471040784865,3.0,7.0,176.0,1.0,1.2872467222884387,1.5532603096111959,0.0,3.0,6.0,0.0,0.5637663885578069,2.828920389593687,0.0,0.0,40.0,0.0,3.3825983313468413,10.874648428500192,0.0,3.0,207.0
16,psi4,505,55.0,47.27128712871287,37.148720674402426,0.0,81.0,100.0,9.0,17.867326732673266,33.067574839051744,3.0,19.0,462.0,2.0,4.306930693069307,5.500978582238846,1.0,6.0,35.0,1.0,0.5188118811881188,0.5001414227153157,0.0,1.0,1.0,16.0,35.035643564356434,50.96305381351951,10.0,39.0,559.0,9.0,18.277227722772277,33.188291231078956,4.0,20.0,462.0,1.0,0.9445544554455445,1.1704424654740915,0.0,2.0,5.0,0.0,0.401980198019802,1.4221867383205071,0.0,0.0,16.0,4.0,9.754455445544554,36.52313771083392,1.0,9.0,676.0
17,trilinos,19532,0.0,34.930831456072085,41.7891356667809,0.0,79.0,100.0,4.0,7.024523858283842,26.1175619417934,4.0,6.0,3317.0,4.0,6.2473889002662295,7.7256295765721585,2.0,8.0,134.0,1.0,0.8031947573213188,0.5450134046431823,1.0,1.0,7.0,19.0,27.248720049150112,49.119985882085004,10.0,40.0,3324.0,4.0,7.278363710833504,26.174917159095365,4.0,6.0,3317.0,2.0,1.713546999795208,1.3538449648392357,1.0,3.0,8.0,0.0,0.7774933442555806,44.150845607878736,0.0,0.0,5782.0,0.0,2.2390948187589594,6.846553664162578,0.0,1.0,371.0
18,forcebalance,203,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.714285714285714,8.364655891032754,1.0,4.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0443349753694582,0.20634712200747243,1.0,1.0,2.0,3.0,16.201970443349754,24.990960664008362,1.0,16.0,82.0,2.0,4.714285714285714,8.364655891032754,1.0,4.0,82.0,1.0,1.3891625615763548,0.758633991361349,1.0,1.0,3.0,0.0,0.5517241379310345,2.7252094992151514,0.0,0.0,33.0,4.0,6.320197044334975,8.90438405542606,1.0,8.0,63.0
19,mdanalysis,797,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.85069008782936,7.152961937053018,1.0,6.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0250941028858218,0.15650917878217177,1.0,1.0,2.0,9.0,13.829360100376412,16.407146721314394,3.0,16.0,83.0,3.0,4.85069008782936,7.152961937053018,1.0,6.0,83.0,2.0,1.8130489335006275,0.8904464262687373,1.0,2.0,6.0,0.0,0.5131744040150564,1.945588899737354,0.0,0.0,23.0,0.0,1.4052697616060226,3.335151949519465,0.0,1.0,29.0
20,openmmtools,9569,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.525969275786394,7.7305411434589395,1.0,5.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9339533911589508,0.4053698071140679,1.0,1.0,4.0,9.0,19.97742710837078,25.177075901431177,2.0,27.0,288.0,2.0,4.525969275786394,7.7305411434589395,1.0,5.0,201.0,2.0,1.7210784826000627,1.1560224046117877,1.0,2.0,8.0,0.0,4.285087260946807,26.873827037388367,0.0,0.0,422.0,0.0,2.284564740307242,4.598218925633975,0.0,3.0,125.0
21,foyer,13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.769230769230769,2.7735009811261455,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,7.538461538461538,4.960097186806333,3.0,13.0,14.0,2.0,2.769230769230769,2.7735009811261455,1.0,4.0,8.0,1.0,2.1538461538461537,1.573009527739414,1.0,4.0,5.0,0.0,0.3076923076923077,0.6304251719561152,0.0,0.0,2.0,2.0,2.1538461538461537,2.5444761689508852,0.0,3.0,8.0
22,yank,101,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.603960396039604,10.432717007492144,1.0,8.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0198019801980198,0.2821417381318113,1.0,1.0,2.0,12.0,17.475247524752476,18.908513457914104,5.0,19.0,71.0,3.0,6.603960396039604,10.432717007492144,1.0,8.0,58.0,2.0,1.7821782178217822,1.035412578598885,1.0,2.0,6.0,0.0,0.44554455445544555,0.910771623676896,0.0,0.0,4.0,0.0,1.7128712871287128,3.6175589384649043,0.0,2.0,18.0
23,pyscf,55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2545454545454544,5.621447625004914,1.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9636363636363636,0.18891859540615819,1.0,1.0,1.0,5.0,13.418181818181818,18.582838467841384,1.0,13.0,65.0,1.0,3.2545454545454544,5.621447625004914,1.0,4.0,39.0,1.0,1.6727272727272726,1.1555749804117148,1.0,2.0,5.0,0.0,0.2,0.5900408021045224,0.0,0.0,3.0,1.0,1.9090909090909092,2.7370755363311567,0.0,3.0,15.0
24,mdtraj,9569,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.525969275786394,7.7305411434589395,1.0,5.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9339533911589508,0.4053698071140679,1.0,1.0,4.0,9.0,19.97742710837078,25.177075901431177,2.0,27.0,288.0,2.0,4.525969275786394,7.7305411434589395,1.0,5.0,201.0,2.0,1.7210784826000627,1.1560224046117877,1.0,2.0,8.0,0.0,4.285087260946807,26.873827037388367,0.0,0.0,422.0,0.0,2.284564740307242,4.598218925633975,0.0,3.0,125.0
25,cctools,26,29.0,33.69230769230769,32.388601983746355,0.0,64.75,85.0,10.5,18.346153846153847,21.27898927617063,5.25,21.75,103.0,5.5,6.576923076923077,4.446779301229841,3.25,9.0,18.0,1.0,0.8076923076923077,0.40191847623425014,1.0,1.0,1.0,42.5,46.96153846153846,28.201391127716757,36.25,69.75,109.0,10.5,18.5,21.61712284278368,5.25,21.75,105.0,1.0,1.1923076923076923,0.7493587001820033,1.0,2.0,2.0,0.0,0.8076923076923077,2.49830711913857,0.0,0.0,10.0,2.0,2.3461538461538463,2.448547450098653,1.0,3.75,10.0
26,openforcefield,55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2545454545454544,5.621447625004914,1.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9636363636363636,0.18891859540615819,1.0,1.0,1.0,5.0,13.418181818181818,18.582838467841384,1.0,13.0,65.0,1.0,3.2545454545454544,5.621447625004914,1.0,4.0,39.0,1.0,1.6727272727272726,1.1555749804117148,1.0,2.0,5.0,0.0,0.2,0.5900408021045224,0.0,0.0,3.0,1.0,1.9090909090909092,2.7370755363311567,0.0,3.0,15.0
27,pymatgen,1116,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.250896057347671,8.014322890529838,2.0,7.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0206093189964158,0.24426330287787676,1.0,1.0,3.0,21.0,35.69534050179212,30.280192518989928,9.0,64.0,166.0,4.0,6.250896057347671,8.014322890529838,2.0,7.0,106.0,2.0,2.0519713261648747,0.9048874087395954,1.0,3.0,5.0,0.0,0.49193548387096775,5.7278273938841675,0.0,0.0,185.0,1.0,2.7132616487455197,4.371559503325992,0.0,4.0,45.0
28,mast,122,0.0,0.0,0.0,0.0,0.0,0.0,7.5,9.778688524590164,9.398885370069257,4.0,12.75,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6147540983606558,0.48866019073366107,0.0,1.0,1.0,12.0,26.5327868852459,31.337982769634507,6.0,34.0,164.0,7.5,9.778688524590164,9.398885370069257,4.0,12.75,68.0,2.0,1.3032786885245902,1.1914942647146283,0.0,2.0,4.0,0.0,0.27049180327868855,1.378925712200251,0.0,0.0,13.0,2.0,4.286885245901639,5.872585852781798,0.0,6.0,23.0
29,scirun,6920,82.0,60.67745664739884,42.98656855746756,0.0,100.0,100.0,4.0,5.3526011560693645,12.289773767880062,3.0,4.0,332.0,3.0,4.223121387283237,4.663584941762947,2.0,5.0,128.0,1.0,0.8790462427745664,0.7755627457887222,0.0,1.0,7.0,46.0,38.921676300578035,48.261041560137045,5.0,47.0,554.0,4.0,5.747687861271676,12.624815279176392,3.0,4.0,332.0,1.0,1.1284682080924855,0.9934597342283872,0.0,2.0,6.0,0.0,0.7413294797687862,25.651073954023172,0.0,0.0,2105.0,0.0,1.7151734104046243,4.79388139789116,0.0,1.0,51.0
30,signac,167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.700598802395209,8.885154106412413,0.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0538922155688624,0.25168073651316397,1.0,1.0,2.0,14.0,26.437125748502993,29.452748539112413,5.0,57.0,117.0,1.0,4.700598802395209,8.885154106412413,0.0,5.0,55.0,2.0,2.8502994011976046,1.7956733224345829,1.0,4.0,7.0,0.0,0.5389221556886228,1.46340296188149,0.0,0.0,10.0,0.0,1.0658682634730539,2.464538189715274,0.0,1.0,21.0
31,signac_flow,91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.659340659340659,8.479019571493682,0.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.21081851067789195,1.0,1.0,2.0,10.0,23.53846153846154,27.26100499178989,6.0,32.5,83.0,2.0,3.659340659340659,8.479019571493682,0.0,4.0,72.0,2.0,2.197802197802198,1.0875025437495687,1.0,3.0,5.0,0.0,0.5714285714285714,1.5502175986533644,0.0,0.0,10.0,0.0,1.0769230769230769,3.8679043112108866,0.0,1.0,26.0
32,luigi,1280,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0296875,7.5555214588568465,1.0,3.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01640625,0.17384820054709696,1.0,1.0,2.0,4.0,19.72421875,27.784066977492916,1.0,40.0,288.0,1.0,3.0296875,7.5555214588568465,1.0,3.0,201.0,2.0,1.76328125,0.909198161520166,1.0,2.0,6.0,0.0,1.08203125,16.14182613560145,0.0,0.0,422.0,0.0,0.5453125,1.6668060112455545,0.0,0.0,28.0
33,parsl,63,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5396825396825395,4.503852819550622,1.0,3.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0158730158730158,0.21938796774013133,1.0,1.0,2.0,12.0,12.19047619047619,11.755379198144393,4.0,15.0,72.0,2.0,3.5396825396825395,4.503852819550622,1.0,3.5,25.0,3.0,2.5873015873015874,1.3030351743689044,1.0,4.0,5.0,0.0,0.5238095238095238,1.5330461228373216,0.0,0.0,8.0,2.0,3.9523809523809526,4.749969682173437,0.0,6.0,23.0
34,rmg-py,405,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.4790123456790125,11.21096877189044,2.0,8.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8765432098765432,0.34406984847307537,1.0,1.0,2.0,33.0,37.666666666666664,29.874241363249762,8.0,63.0,154.0,4.0,7.4790123456790125,11.21096877189044,2.0,8.0,96.0,2.0,1.651851851851852,0.8758462825582278,1.0,2.0,4.0,0.0,0.19506172839506172,1.172699056818646,0.0,0.0,17.0,1.0,3.859259259259259,7.450326887934093,0.0,5.0,61.0
35,hydroshare,1195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2276150627615063,5.040048049454633,0.0,3.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9230125523012552,0.5312016298300487,1.0,1.0,3.0,1.0,5.784937238493724,13.697183588235449,0.0,4.0,85.0,0.0,2.2276150627615063,5.040048049454633,0.0,3.0,63.0,1.0,1.1966527196652719,0.8138183729306445,1.0,2.0,5.0,0.0,28.218410041841004,65.3071341534695,0.0,1.0,182.0,0.0,1.2301255230125523,3.164887380031773,0.0,1.0,32.0
36,taudem,3,87.0,82.33333333333333,18.44812546936228,74.5,92.5,98.0,25.0,27.666666666666668,7.371114795831994,23.5,30.5,36.0,1.0,0.6666666666666666,0.5773502691896258,0.5,1.0,1.0,0.0,0.3333333333333333,0.5773502691896258,0.0,0.5,1.0,36.0,39.666666666666664,16.802777548171413,30.5,47.0,58.0,25.0,27.666666666666668,7.371114795831994,23.5,30.5,36.0,0.0,0.3333333333333333,0.5773502691896258,0.0,0.5,1.0,0.0,0.3333333333333333,0.5773502691896258,0.0,0.5,1.0,12.0,16.666666666666668,12.662279942148386,9.5,21.5,31.0
37,goofit,132,0.0,34.515151515151516,41.64214777084912,0.0,80.0,100.0,3.0,5.507575757575758,7.411046234636976,2.0,5.0,59.0,2.0,2.159090909090909,1.893458185455754,1.0,3.0,9.0,1.0,0.8787878787878788,0.41036760713015064,1.0,1.0,3.0,54.0,35.56818181818182,26.15374192188009,5.0,59.25,71.0,3.5,5.5227272727272725,7.433641201513448,2.0,5.0,59.0,2.0,2.2803030303030303,1.9858829787229626,1.0,3.0,6.0,0.0,0.6060606060606061,2.700742266524519,0.0,0.0,26.0,0.0,2.0454545454545454,3.955600216686968,0.0,3.0,23.0
38,changa,159,0.0,29.654088050314467,34.06750324702221,0.0,61.0,100.0,9.0,9.39622641509434,17.91859894639021,3.0,11.0,217.0,3.0,4.10062893081761,8.755609390811937,1.0,4.0,78.0,1.0,0.7484276729559748,0.5027588880194215,0.0,1.0,2.0,16.0,15.729559748427674,19.88755909524789,4.0,21.0,218.0,9.0,9.421383647798741,17.921553266698826,3.0,11.0,217.0,1.0,1.1320754716981132,0.8352457953032567,0.0,2.0,3.0,0.0,0.5534591194968553,3.4780465176610864,0.0,0.0,40.0,1.0,4.773584905660377,12.462563956034558,0.0,5.0,137.0
39,metpy,62,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.354838709677419,5.426398057201324,1.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25607375986579195,1.0,1.0,2.0,4.0,21.419354838709676,52.617564974438324,2.0,12.0,314.0,2.0,4.354838709677419,5.426398057201324,1.0,6.0,28.0,1.0,1.7741935483870968,1.1076389723517535,1.0,2.0,5.0,0.0,0.24193548387096775,1.0509243998166995,0.0,0.0,7.0,1.0,2.2096774193548385,3.8160020997613975,0.0,2.0,21.0
40,elasticsearch,17209,0.0,22.822418501946657,32.60834790759184,0.0,50.0,100.0,3.0,4.893950839676913,8.449055155715039,1.0,6.0,375.0,3.0,6.892904875355918,11.45765054054218,1.0,9.0,311.0,1.0,1.342437096867918,0.5443498177559785,1.0,2.0,10.0,8.0,39.38171886803417,66.14783091790599,2.0,34.0,375.0,3.0,5.399035388459527,9.051619954580119,1.0,7.0,375.0,2.0,2.273752106455924,1.5014976605680073,1.0,3.0,9.0,0.0,0.5762682317392063,11.615548871646157,0.0,0.0,1367.0,0.0,1.2534720204544134,2.7980030719314795,0.0,2.0,131.0
41,galaxy,2526,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.768408551068884,8.84004209036114,1.0,5.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.095803642121932,0.4812588766753388,1.0,1.0,6.0,10.0,31.13341250989707,53.57853878014508,4.0,35.0,331.0,2.0,4.768408551068884,8.84004209036114,1.0,5.0,168.0,2.0,2.335312747426762,1.3372041326025432,1.0,3.0,8.0,0.0,0.7414885193982581,3.5819233730998814,0.0,0.0,68.0,0.0,1.9552652414885194,7.072578337880795,0.0,2.0,294.0
42,abaco,132,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.9393939393939394,4.286954426611141,1.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,10.598484848484848,13.018401449976329,3.0,12.25,57.0,2.0,3.9393939393939394,4.286954426611141,1.0,5.0,24.0,1.0,1.7348484848484849,1.0253269706368033,1.0,2.0,4.0,0.0,0.6818181818181818,2.6995000436698953,0.0,0.0,17.0,1.0,1.5909090909090908,2.3475000360284057,0.0,2.0,11.0
43,cyclus,921,83.0,63.418023887079265,40.62016607767243,33.0,100.0,100.0,4.0,5.581976112920739,13.765586454581555,3.0,4.0,341.0,4.0,4.971769815418024,4.258912141054138,1.0,7.0,31.0,1.0,0.7242128121606949,0.4867260347696912,0.0,1.0,3.0,22.0,19.946796959826276,21.904744201513285,7.0,24.0,364.0,4.0,5.823018458197612,13.8156398461044,3.0,4.0,341.0,1.0,1.1487513572204127,0.8911528098484981,0.0,2.0,4.0,0.0,0.6927252985884907,6.258215579427377,0.0,0.0,177.0,0.0,2.8664495114006514,7.310993307423973,0.0,2.0,50.0
44,irods,113,15.0,26.451327433628318,31.06157224841678,0.0,57.0,100.0,4.0,6.867256637168142,7.3721294955813645,2.0,9.0,48.0,3.0,3.9292035398230087,3.2643004450726716,2.0,6.0,19.0,0.0,0.4690265486725664,0.5012626282730047,0.0,1.0,1.0,13.0,16.053097345132745,13.974364736369314,4.0,26.0,75.0,4.0,7.0265486725663715,7.356314315159012,2.0,9.0,48.0,0.0,0.7787610619469026,0.9037077719272527,0.0,2.0,3.0,0.0,0.45132743362831856,1.5979403620781765,0.0,0.0,13.0,1.0,1.7345132743362832,3.079360146648756,0.0,2.0,22.0
