,project,n_oo_metrics,median_LCOM,mean_LCOM,sd_LCOM,25per_LCOM,75per_LCOM,max_LCOM,median_NIM,mean_NIM,sd_NIM,25per_NIM,75per_NIM,max_NIM,median_CBO,mean_CBO,sd_CBO,25per_CBO,75per_CBO,max_CBO,median_IFANIN,mean_IFANIN,sd_IFANIN,25per_IFANIN,75per_IFANIN,max_IFANIN,median_RFC,mean_RFC,sd_RFC,25per_RFC,75per_RFC,max_RFC,median_WMC,mean_WMC,sd_WMC,25per_WMC,75per_WMC,max_WMC,median_DIT,mean_DIT,sd_DIT,25per_DIT,75per_DIT,max_DIT,median_NOC,mean_NOC,sd_NOC,25per_NOC,75per_NOC,max_NOC,median_NIV,mean_NIV,sd_NIV,25per_NIV,75per_NIV,max_NIV
0,ambermd,507,50.0,43.1301775147929,28.867401924003207,10.5,66.0,92.0,7.0,10.682445759368836,11.431863258618506,5.0,13.0,131.0,6.0,8.794871794871796,11.677032849965917,2.0,13.0,210.0,1.0,0.6429980276134122,0.522956484026946,0.0,1.0,2.0,17.0,21.487179487179485,17.133552748219532,11.0,27.0,131.0,8.0,11.199211045364892,11.710344712661703,5.0,14.0,131.0,2.0,1.1321499013806706,0.9347760364679517,0.0,2.0,2.0,0.0,0.6390532544378699,5.242903493920661,0.0,0.0,84.0,3.0,5.78698224852071,7.761386392957832,1.0,7.0,66.0
1,acemd,189,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.132275132275132,7.582066299545796,2.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9470899470899471,0.48086192267115224,1.0,1.0,3.0,11.0,18.164021164021165,20.566435595550647,5.0,19.0,91.0,4.0,6.132275132275132,7.582066299545796,2.0,7.0,56.0,1.0,1.5449735449735449,0.9477513276612398,1.0,2.0,4.0,0.0,0.4444444444444444,1.9332844210002496,0.0,0.0,19.0,2.0,3.074074074074074,3.8238911360047583,1.0,4.0,28.0
2,apbs,1464,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4658469945355193,6.298037122728512,1.0,4.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.819672131147541,0.6265887217809816,0.0,1.0,4.0,9.0,14.814890710382514,17.683996792913632,2.0,25.0,165.0,2.0,3.4658469945355193,6.298037122728512,1.0,4.0,86.0,1.0,1.5157103825136613,1.3833396593974736,0.0,2.0,7.0,0.0,0.6823770491803278,3.02047075134307,0.0,0.0,47.0,1.0,2.3804644808743167,4.141472993243038,0.0,3.0,33.0
3,dealii,5000,18.0,28.4248,32.40648053948764,0.0,51.0,100.0,3.0,7.4822,12.326689442608785,2.0,8.0,171.0,2.0,3.8984,6.091855183761018,1.0,4.0,58.0,1.0,0.8486,1.0380238623017015,0.0,1.0,7.0,13.0,21.1996,29.045159391830154,4.0,29.0,319.0,4.0,7.8154,12.591752589955751,2.0,9.0,173.0,1.0,1.037,1.168034186474075,0.0,2.0,9.0,0.0,0.478,7.065486552251303,0.0,0.0,466.0,1.0,2.0946,6.321522219262835,0.0,2.0,275.0
4,elasticsearch,17209,0.0,22.822418501946657,32.60834790759184,0.0,50.0,100.0,3.0,4.893950839676913,8.449055155715039,1.0,6.0,375.0,3.0,6.892904875355918,11.45765054054218,1.0,9.0,311.0,1.0,1.342437096867918,0.5443498177559785,1.0,2.0,10.0,8.0,39.38171886803417,66.14783091790599,2.0,34.0,375.0,3.0,5.399035388459527,9.051619954580119,1.0,7.0,375.0,2.0,2.273752106455924,1.5014976605680073,1.0,3.0,9.0,0.0,0.5762682317392063,11.615548871646157,0.0,0.0,1367.0,0.0,1.2534720204544134,2.7980030719314795,0.0,2.0,131.0
5,hoomd,294,50.0,45.86054421768708,29.523131575026586,19.0,71.0,100.0,5.0,9.095238095238095,11.40464747691966,4.0,11.0,132.0,5.0,6.119047619047619,5.154551099959461,2.0,9.0,27.0,1.0,0.6496598639455783,0.48497903260822106,0.0,1.0,2.0,18.0,26.272108843537413,25.01468724150195,7.0,43.0,132.0,6.0,9.462585034013605,11.365940443646203,4.0,11.0,132.0,1.0,1.1768707482993197,1.154901590134711,0.0,2.0,5.0,0.0,0.5714285714285714,2.080299269623133,0.0,0.0,25.0,4.0,5.629251700680272,7.19465777240501,1.0,7.0,58.0
6,lammps,2310,50.0,43.131601731601734,32.77644524593151,0.0,71.0,100.0,7.0,10.969264069264069,13.34807067693354,4.0,13.0,230.0,8.0,7.933333333333334,6.531455465297444,4.0,10.0,83.0,1.0,0.929004329004329,0.4952597780029588,1.0,1.0,8.0,54.0,62.5012987012987,46.77696727023235,19.0,103.0,281.0,7.0,11.166666666666666,13.541985676579134,4.0,13.0,232.0,2.0,2.0194805194805197,1.3345077545672648,1.0,3.0,7.0,0.0,0.90995670995671,7.0733725307461475,0.0,0.0,168.0,3.0,8.935064935064934,17.87432984131124,0.0,10.0,287.0
7,libmesh,1673,18.0,33.17931858936043,36.96403434666371,0.0,66.0,100.0,6.0,11.185295875672445,20.486875222607463,3.0,13.0,368.0,1.0,2.9468021518230723,4.761178322018862,0.0,4.0,62.0,1.0,0.7083084279737,0.7923280883271352,0.0,1.0,8.0,11.0,36.50687387925882,72.95309731918962,5.0,29.0,599.0,6.0,11.749551703526599,20.882790672470044,3.0,14.0,368.0,1.0,1.0430364614465033,1.2993606669468352,0.0,2.0,9.0,0.0,0.4602510460251046,3.130304750607366,0.0,0.0,106.0,1.0,2.451285116557083,7.205887069274898,0.0,2.0,103.0
8,madness,665,28.0,29.466165413533833,30.322798709370193,0.0,51.0,100.0,4.0,9.097744360902256,25.116854809208085,2.0,8.0,398.0,1.0,2.806015037593985,4.679482249809219,0.0,3.0,25.0,1.0,0.524812030075188,0.5458504493980667,0.0,1.0,2.0,6.0,22.518796992481203,60.40760164002533,3.0,15.0,622.0,4.0,9.661654135338345,25.33590219492489,2.0,8.0,398.0,1.0,0.5969924812030075,0.6676631439120804,0.0,1.0,3.0,0.0,0.26015037593984963,1.3056838125353614,0.0,0.0,14.0,2.0,4.8,8.263215045705048,0.0,5.0,50.0
9,mpqc,1079,50.0,44.39944392956441,31.66790277995768,14.0,71.0,100.0,8.0,14.580166821130677,31.250214330544733,4.0,15.0,830.0,4.0,6.055607043558851,7.152763492664297,1.0,8.0,58.0,1.0,0.7293790546802595,0.4767105553549876,0.0,1.0,3.0,37.0,62.00556070435589,94.34664484713134,12.0,69.0,930.0,8.0,14.82669138090825,31.3327137822044,5.0,15.0,830.0,2.0,2.233549582947173,2.1366024529224528,0.0,4.0,10.0,0.0,0.7191844300278035,4.158714934852801,0.0,0.0,95.0,2.0,4.278035217794254,7.31776686605922,1.0,5.0,91.0
