,project,n_file_metrics/processed_fm,median_Comment,mean_Comment,sd_Comment,25per_Comment,75per_Comment,max_Comment,median_Code,mean_Code,sd_Code,25per_Code,75per_Code,max_Code,median_Cyclomatic,mean_Cyclomatic,sd_Cyclomatic,25per_Cyclomatic,75per_Cyclomatic,max_Cyclomatic,median_Lines,mean_Lines,sd_Lines,25per_Lines,75per_Lines,max_Lines,median_Modified,mean_Modified,sd_Modified,25per_Modified,75per_Modified,max_Modified,median_Strict,mean_Strict,sd_Strict,25per_Strict,75per_Strict,max_Strict,median_Blank,mean_Blank,sd_Blank,25per_Blank,75per_Blank,max_Blank,median_Essential,mean_Essential,sd_Essential,25per_Essential,75per_Essential,max_Essential
0,ambermd,411,2.0,3.170316301703163,3.703023767363698,1.0,4.0,28.0,18.0,22.16058394160584,16.183656424551796,11.0,29.0,101.0,5.0,5.557177615571776,4.090860225010247,3.0,7.0,28.0,23.0,27.508515815085158,21.067760608572403,13.0,36.0,115.0,5.0,5.406326034063261,3.892188409544654,3.0,7.0,23.0,5.0,6.087591240875913,4.687514999085848,3.0,8.0,30.0,0.0,0.9294403892944039,1.6192092102504383,0.0,1.0,16.0,2.0,2.413625304136253,2.0822617266532486,1.0,3.0,18.0
1,abinit,26,10.0,11.26923076923077,8.9913633774092,3.25,15.75,30.0,26.5,35.34615384615385,25.91207024950698,19.5,48.5,113.0,4.0,5.076923076923077,4.068641807021866,2.0,7.0,18.0,54.5,55.11538461538461,32.736923402270925,36.5,61.0,160.0,4.0,5.076923076923077,4.068641807021866,2.0,7.0,18.0,4.0,5.076923076923077,4.068641807021866,2.0,7.0,18.0,8.0,8.807692307692308,10.729470558305216,3.25,9.0,56.0,1.0,1.7307692307692308,1.5377305955905882,1.0,2.5,8.0
2,acemd,178,3.0,4.544943820224719,6.503428235199134,0.0,6.0,44.0,11.5,14.146067415730338,14.538902080726162,5.0,18.0,87.0,2.0,2.966292134831461,3.305360953484376,1.0,4.0,30.0,17.0,21.280898876404493,17.24269354084183,11.0,29.75,90.0,2.0,2.966292134831461,3.305360953484376,1.0,4.0,30.0,2.0,2.966292134831461,3.305360953484376,1.0,4.0,30.0,1.0,2.303370786516854,3.1850799576018325,0.0,3.0,19.0,1.0,1.4887640449438202,1.4738349379210187,1.0,2.0,10.0
3,apbs,528,1.0,2.492424242424242,4.854225979641098,0.0,3.0,60.0,8.0,10.941287878787879,13.31355759350319,4.0,13.0,134.0,2.0,2.462121212121212,2.615543388796356,1.0,3.0,25.0,10.0,15.704545454545455,19.555589478941762,6.0,19.0,172.0,2.0,2.462121212121212,2.615543388796356,1.0,3.0,25.0,2.0,2.462121212121212,2.615543388796356,1.0,3.0,25.0,1.0,1.4602272727272727,3.255462428269351,0.0,2.0,41.0,1.0,1.2386363636363635,0.786426378094506,1.0,1.0,11.0
4,blis,836,0.0,13.224880382775119,38.537138514630975,0.0,9.0,596.0,7.0,43.57655502392345,90.14541878275969,1.0,38.25,998.0,2.0,4.992822966507177,7.9076978290427835,1.0,6.0,65.0,10.0,65.7464114832536,126.35568198676567,1.0,62.75,1004.0,2.0,4.952153110047847,7.846436784226619,1.0,6.0,65.0,2.0,5.651913875598086,9.210363008690544,1.0,6.0,71.0,1.0,9.874401913875598,23.48605936873627,0.0,8.0,227.0,1.0,1.167464114832536,1.5447632316392323,1.0,1.0,20.0
5,dealii,4910,1.0,2.6260692464358453,9.710428135386767,0.0,3.0,442.0,21.0,25.841344195519348,27.442554333991396,13.0,31.0,456.0,3.0,3.7826883910386964,5.46682299877977,2.0,4.0,127.0,26.0,33.184114052953156,44.72842740983594,16.0,38.0,1032.0,3.0,3.7556008146639512,5.437972631310965,2.0,4.0,127.0,3.0,3.94928716904277,6.097803613027719,2.0,4.0,164.0,3.0,4.395519348268839,5.8491929306216015,2.0,5.0,130.0,1.0,1.1089613034623218,1.448139674034189,1.0,1.0,48.0
6,elasticsearch,8973,0.0,0.5707121364092277,1.680126392099527,0.0,0.0,65.0,6.0,8.39930903822579,8.923863545774191,3.0,10.0,257.0,1.0,1.352613395742784,1.274266514949821,1.0,1.0,32.0,7.0,9.718600245179985,10.472425555479289,4.0,12.0,273.0,1.0,1.3204056614287307,1.1817565590259094,1.0,1.0,32.0,1.0,1.4220439095062967,1.5538598953997873,1.0,2.0,61.0,0.0,0.4037668561239273,1.3229242137347355,0.0,0.0,23.0,1.0,0.9974367547085702,0.631762659282466,1.0,1.0,31.0
7,hoomd,285,2.0,2.9368421052631577,3.458436896523484,1.0,4.0,40.0,21.0,24.894736842105264,20.51011791751484,12.0,32.0,205.0,2.0,2.680701754385965,2.403008574689679,1.0,3.0,19.0,29.0,34.01754385964912,29.171597239359876,17.0,44.0,315.0,2.0,2.6210526315789475,2.3112353292601258,1.0,3.0,19.0,3.0,4.098245614035088,4.368279193054791,2.0,5.0,36.0,3.0,4.445614035087719,6.028806149056455,2.0,6.0,86.0,1.0,1.0035087719298246,0.5138795113754923,1.0,1.0,6.0
8,lammps,3075,0.0,1.5183739837398373,3.3953215098825726,0.0,2.0,55.0,12.0,18.604227642276424,28.904354789161097,0.0,28.0,547.0,2.0,3.8858536585365853,6.1768802735293,0.0,5.0,113.0,14.0,24.699837398373983,62.983536049083185,0.0,35.0,2839.0,2.0,3.8390243902439023,6.063836215874468,0.0,5.0,113.0,3.0,4.393821138211382,7.221878190186585,0.0,6.0,131.0,1.0,3.36,6.0278166731539615,0.0,5.0,124.0,1.0,0.9642276422764228,1.4603928403334063,0.0,1.0,40.0
9,libmesh,2418,2.0,7.91852770885029,20.005387668602086,0.0,6.75,244.0,19.0,51.83209263854425,158.47608709796887,7.0,50.0,6028.0,3.0,16.7808105872622,118.13742730081687,1.0,11.0,5211.0,28.0,74.3697270471464,197.6323692036869,8.0,74.75,6720.0,3.0,15.968569065343258,118.05785558666369,1.0,9.0,5211.0,3.0,18.08850289495451,120.96427675850803,1.0,12.0,5211.0,3.0,9.422249793217535,27.919856067509013,0.0,9.0,662.0,1.0,8.044251447477254,58.99632277165426,1.0,3.0,2605.0
