,project,n_func_metrics,median_cyclomatic,mean_cyclomatic,sd_cyclomatic,25per_cyclomatic,75per_cyclomatic,max_cyclomatic,median_modified,mean_modified,sd_modified,25per_modified,75per_modified,max_modified,median_strict,mean_strict,sd_strict,25per_strict,75per_strict,max_strict,median_nesting,mean_nesting,sd_nesting,25per_nesting,75per_nesting,max_nesting,median_path_count,mean_path_count,sd_path_count,25per_path_count,75per_path_count,max_path_count,median_path_c_log,mean_path_c_log,sd_path_c_log,25per_path_c_log,75per_path_c_log,max_path_c_log,median_essential,mean_essential,sd_essential,25per_essential,75per_essential,max_essential
0,ambermd,6572,1.0,3.714546561168594,7.279205621292658,1.0,3.0,145.0,1.0,3.6139683505782108,6.929209606998684,1.0,3.0,143.0,1.0,4.152769324406574,8.754524621827093,1.0,4.0,195.0,0.0,0.8493609251369446,1.3227385962413523,0.0,1.0,10.0,1.0,1869294.7921485088,39804821.92928816,1.0,4.0,999999999.0,0.0,0.43913572732805845,1.109487473956793,0.0,1.0,23.0,1.0,1.9736762020693852,3.6436214361306485,1.0,1.0,85.0
1,abinit,96,2.0,4.677083333333333,5.813767311380564,1.0,5.0,27.0,2.0,4.677083333333333,5.813767311380564,1.0,5.0,27.0,2.0,4.677083333333333,5.813767311380564,1.0,5.0,27.0,1.0,1.21875,1.7180351384189163,0.0,2.0,9.0,2.0,15828.25,144589.61044017688,1.0,11.5,1416960.0,0.0,0.8020833333333334,1.2865276945219368,0.0,1.0,6.0,1.0,1.3645833333333333,1.2741956527172382,1.0,1.0,9.0
2,acemd,1759,2.0,3.32802728823195,4.281194708398939,1.0,4.0,42.0,2.0,3.32802728823195,4.281194708398939,1.0,4.0,42.0,2.0,3.32802728823195,4.281194708398939,1.0,4.0,42.0,1.0,1.2006822057987492,1.379221553651724,0.0,2.0,10.0,2.0,1639460.4417282548,36743459.83047949,1.0,4.0,999999999.0,0.0,0.4712905059693007,0.9378588188721187,0.0,1.0,9.0,1.0,1.7743035815804433,2.288294211689873,1.0,1.0,31.0
3,apbs,7604,2.0,3.0180168332456603,4.482542924334941,1.0,3.0,103.0,2.0,3.0180168332456603,4.482542924334941,1.0,3.0,103.0,2.0,3.0180168332456603,4.482542924334941,1.0,3.0,103.0,1.0,1.0353761178327197,1.348099622788946,0.0,2.0,10.0,2.0,885769.3481062598,27623534.85062236,1.0,4.0,999999999.0,0.0,0.38361388742766966,0.8921890794345391,0.0,1.0,28.0,1.0,1.6336138874276696,1.9822057381537173,1.0,1.0,29.0
4,blis,3940,2.0,5.561167512690355,9.287819136816411,1.0,6.0,82.0,2.0,5.4530456852791875,9.039030111670128,1.0,6.0,82.0,2.0,6.17741116751269,10.578866275577193,1.0,6.0,88.0,1.0,1.2038071065989848,1.7042979057254102,0.0,2.0,11.0,2.0,1804064.949746193,32283280.672418743,1.0,8.0,999999999.0,0.0,0.6373096446700508,1.1681127094217159,0.0,1.0,10.0,1.0,1.5921319796954314,2.696153743619501,1.0,1.0,57.0
5,dealii,97603,1.0,1.8410704588998288,3.559709277792117,1.0,1.0,284.0,1.0,1.8164810507873734,3.452287451471292,1.0,1.0,284.0,1.0,2.0767189533108614,8.094864337062992,1.0,1.0,863.0,0.0,0.36471215024128356,0.9303985699823681,0.0,0.0,15.0,1.0,431324.23660133395,19992759.91729381,1.0,1.0,999999999.0,0.0,0.1325881376597031,0.5784953242091234,0.0,0.0,47.0,1.0,1.1280288515721852,1.2699914713234972,1.0,1.0,256.0
6,elasticsearch,105451,1.0,1.6619377720457842,2.2279431914334618,1.0,1.0,212.0,1.0,1.6315729580563485,2.088005078106073,1.0,1.0,212.0,1.0,1.7604005651914159,2.8113504964423455,1.0,2.0,429.0,0.0,0.3489488008648567,0.777850870668213,0.0,0.0,11.0,1.0,39220.439246664326,6161723.3294742415,1.0,1.0,999999999.0,0.0,0.10079563019791182,0.3795088444076828,0.0,0.0,12.0,1.0,1.10875193217703,1.029442495945707,1.0,1.0,212.0
7,hoomd,4492,1.0,2.719946571682992,6.612298225067393,1.0,2.0,246.0,1.0,2.6600623330365094,6.400566301740522,1.0,2.0,246.0,1.0,3.566117542297418,10.48457809770479,1.0,2.0,391.0,0.0,0.5727960819234195,1.1247301743476903,0.0,1.0,12.0,1.0,1477020.446571683,36866836.92525944,1.0,2.0,999999999.0,0.0,0.2905164737310775,0.9157174294236181,0.0,0.0,17.0,1.0,1.4396705253784505,4.821338182824719,1.0,1.0,246.0
8,lammps,31381,1.0,4.349829514674485,9.354265380171432,1.0,4.0,335.0,1.0,4.315859915235333,9.291249466642055,1.0,4.0,335.0,2.0,4.832765048914949,11.004750626888235,1.0,4.0,351.0,0.0,1.0424460660909467,1.4568737957868696,0.0,2.0,15.0,1.0,5607509.469934037,72177231.98874669,1.0,4.0,999999999.0,0.0,0.5940537267773494,1.545585733285656,0.0,1.0,66.0,1.0,1.404034288263599,2.8305796759806556,1.0,1.0,244.0
9,libmesh,35538,1.0,4.687573864595644,33.821531595340474,1.0,3.0,5211.0,1.0,4.2916033541561145,33.204636043109254,1.0,3.0,5211.0,1.0,5.1563115538297035,35.11710224463138,1.0,3.0,5211.0,0.0,0.7463841521751364,1.3108172422907103,0.0,1.0,11.0,1.0,4178143.5178681975,62554508.656263925,1.0,2.0,1339744109.0,0.0,0.40446845630029826,1.4917786951488803,0.0,0.0,115.0,1.0,2.2467780966852384,16.909837024001593,1.0,1.0,2605.0
