,project,n_func_metrics,median_cyclomatic,mean_cyclomatic,sd_cyclomatic,25per_cyclomatic,75per_cyclomatic,max_cyclomatic,median_modified,mean_modified,sd_modified,25per_modified,75per_modified,max_modified,median_strict,mean_strict,sd_strict,25per_strict,75per_strict,max_strict,median_nesting,mean_nesting,sd_nesting,25per_nesting,75per_nesting,max_nesting,median_path_count,mean_path_count,sd_path_count,25per_path_count,75per_path_count,max_path_count,median_path_c_log,mean_path_c_log,sd_path_c_log,25per_path_c_log,75per_path_c_log,max_path_c_log,median_essential,mean_essential,sd_essential,25per_essential,75per_essential,max_essential
10,madness,11757,1.0,3.0325763375010633,5.142644757876134,1.0,3.0,108.0,1.0,2.982903801990304,5.0049954941618555,1.0,3.0,108.0,1.0,3.3049247256953302,5.77197890336612,1.0,3.0,108.0,0.0,0.7337756230330866,1.1302815496283265,0.0,1.0,10.0,1.0,1369990.2393467722,34817503.36286462,1.0,3.0,999999999.0,0.0,0.36693033937228886,0.9017327897739157,0.0,0.0,21.0,1.0,1.194777579314451,1.3382495353753918,1.0,1.0,66.0
11,molcas,8463,6.0,12.621174524400331,28.639326116663344,2.0,13.0,1017.0,6.0,12.582535743826066,28.538574944134687,2.0,13.0,1017.0,6.0,12.62412855961243,28.639400117017956,2.0,13.0,1017.0,2.0,2.5926976249556897,2.2706555681557417,1.0,4.0,20.0,8.0,34314481.4500768,176194161.43722826,2.0,142.0,1999999998.0,1.0,1.9628973177360274,4.650238311149319,0.0,2.0,195.0,1.0,3.3124187640316674,11.56880072331757,1.0,1.0,475.0
12,mpqc,20097,1.0,3.352838732149077,7.660864479519491,1.0,2.0,461.0,1.0,3.3162661093695576,7.535623375414478,1.0,2.0,461.0,1.0,3.881076777628502,10.485212359293117,1.0,3.0,683.0,0.0,1.2972582972582973,2.9616895923526467,0.0,1.0,20.0,1.0,2147966.4155844157,44388647.21741007,1.0,2.0,999999999.0,0.0,0.3336816440264716,1.0830448794696304,0.0,0.0,56.0,1.0,1.1868438075334626,1.3567734046597284,1.0,1.0,72.0
13,nwchem,3177,4.0,11.296820900220334,20.31148421518338,1.0,12.0,384.0,4.0,11.24268177525968,20.257099793656284,1.0,12.0,384.0,5.0,11.560276990871891,20.50898852948621,1.0,12.0,384.0,2.0,2.039974819011646,2.1341887714567487,0.0,3.0,20.0,4.0,23594659.85300598,150717418.22987795,1.0,50.0,1999999998.0,1.0,1.4903997481901166,2.8541342364008395,0.0,2.0,52.0,1.0,3.178155492603085,7.547522905718032,1.0,3.0,308.0
14,openmm,15559,1.0,2.3015617970306574,8.728088360023852,1.0,1.0,853.0,1.0,2.249630438974227,7.795267365579945,1.0,1.0,742.0,1.0,2.5372453242496302,9.946334230182412,1.0,1.0,953.0,0.0,0.37926601966707374,0.8784953954265299,0.0,0.0,12.0,1.0,2520675.778970371,48982791.2352371,1.0,1.0,999999999.0,0.0,0.22546436146281895,0.9950084646420719,0.0,0.0,39.0,1.0,1.188122629989074,3.7237349041771344,1.0,1.0,411.0
15,openmpi,19146,3.0,7.227984957693513,20.638213339935685,1.0,7.0,1798.0,3.0,6.997388488457119,20.388706194059097,1.0,7.0,1798.0,3.0,7.778804972317977,21.600523579565113,1.0,8.0,1818.0,1.0,1.5465371356941398,1.6023460765959308,0.0,2.0,13.0,3.0,7745037.241669279,85806348.50709856,1.0,9.0,1551650788.0,0.0,-336489.8862425572,26879970.029127426,0.0,1.0,142.0,1.0,3.088060169225948,6.571508461187199,1.0,3.0,246.0
16,openmx,1721,2.0,4.773968622893666,9.265874931840127,1.0,5.0,132.0,2.0,4.538640325392214,8.204638521378573,1.0,5.0,132.0,2.0,5.351539802440442,11.266649654176504,1.0,5.0,215.0,1.0,1.1104009296920394,1.363780617152211,0.0,2.0,9.0,2.0,5135734.794886693,68906177.82535036,1.0,6.0,999999999.0,0.0,0.6449738524113887,1.6851055835775628,0.0,1.0,38.0,1.0,1.9180708890180127,3.1600198699838513,1.0,1.0,63.0
17,pcmsolver,10436,1.0,1.9911843618244538,5.520126427873853,1.0,1.0,190.0,1.0,1.9832311230356459,5.512976941082004,1.0,1.0,190.0,1.0,2.209467228823304,6.395120509301597,1.0,2.0,226.0,0.0,0.3501341510157148,0.8832471460769348,0.0,0.0,8.0,1.0,2204305.63434266,46165993.36531756,1.0,1.0,999999999.0,0.0,0.15436949022614027,1.006557833835374,0.0,0.0,32.0,1.0,1.1142200076657722,0.8243915588749465,1.0,1.0,21.0
18,plumed,6521,1.0,4.243214230946174,11.276721926038446,1.0,3.0,247.0,1.0,4.193068547768747,11.068193020221376,1.0,3.0,247.0,1.0,4.945100444717068,16.135147902839453,1.0,3.0,567.0,0.0,0.8483361447630732,1.2984774263985757,0.0,1.0,8.0,1.0,6833233.964882687,80590820.27097474,1.0,4.0,999999999.0,0.0,0.5614169605888667,1.9603294337552715,0.0,1.0,49.0,1.0,1.5204723201962889,2.9252842383329054,1.0,1.0,115.0
19,psi4,12264,2.0,5.739155251141552,12.715616713122575,1.0,5.0,349.0,2.0,5.7063763861709065,12.553620332785458,1.0,5.0,326.0,2.0,6.4563763861709065,15.705478193547256,1.0,5.0,373.0,1.0,1.250652315720809,1.768911049310567,0.0,2.0,15.0,2.0,16044359.10526745,122346911.192301,1.0,6.0,999999999.0,0.0,-350208.48556751467,27422755.051583882,0.0,1.0,37.0,1.0,1.4231898238747553,2.0559658115487625,1.0,1.0,58.0
20,trilinos,165410,1.0,3.46568526691252,11.377991282257689,1.0,2.0,957.0,1.0,3.3909860347016503,11.20523951756378,1.0,2.0,957.0,1.0,3.8162384378211716,12.53234095511135,1.0,2.0,957.0,0.0,0.6435282026479656,1.1770593564779,0.0,1.0,18.0,1.0,5397257.513366786,71250254.24502991,1.0,2.0,1831885068.0,0.0,-25965.15950668037,7467284.015590306,0.0,0.0,112.0,1.0,1.3288434798379785,2.6780584791131408,1.0,1.0,343.0
21,forcebalance,1507,2.0,4.289980092899801,6.527614174593383,1.0,4.0,98.0,2.0,4.289980092899801,6.527614174593383,1.0,4.0,98.0,2.0,4.289980092899801,6.527614174593383,1.0,4.0,98.0,1.0,1.411413404114134,1.521628856017229,0.0,2.0,9.0,2.0,3295666.5832780357,53553065.34866418,1.0,6.0,999999999.0,0.0,0.648307896483079,1.3923532358172828,0.0,1.0,21.0,1.0,1.7312541473125416,2.3111482704051105,1.0,1.0,22.0
22,mdanalysis,4945,1.0,1.7027300303336703,2.0089309668500994,1.0,2.0,51.0,1.0,1.7027300303336703,2.0089309668500994,1.0,2.0,51.0,1.0,1.7027300303336703,2.0089309668500994,1.0,2.0,51.0,0.0,0.5648129423660263,0.8782564751132871,0.0,1.0,7.0,1.0,45747.58645096057,3062188.3810674106,1.0,2.0,215053056.0,0.0,0.13367037411526794,0.4601084811910751,0.0,0.0,8.0,1.0,1.1911021233569261,1.0464928805272766,1.0,1.0,42.0
23,openmmtools,61436,1.0,3.0160980532586756,6.8482238633541295,1.0,3.0,590.0,1.0,3.0160980532586756,6.8482238633541295,1.0,3.0,590.0,1.0,3.0160980532586756,6.8482238633541295,1.0,3.0,590.0,1.0,0.984536753694902,1.3523733386918448,0.0,2.0,14.0,1.0,2134605.487189921,44502767.773313925,1.0,3.0,999999999.0,0.0,-139818.85500358097,17327575.165265042,0.0,0.0,78.0,1.0,1.5455758838466045,2.588444900187355,1.0,1.0,212.0
24,foyer,104,2.0,3.548076923076923,6.338171932847521,1.0,4.0,62.0,2.0,3.548076923076923,6.338171932847521,1.0,4.0,62.0,2.0,3.548076923076923,6.338171932847521,1.0,4.0,62.0,1.0,1.5384615384615385,1.4476165675556798,0.0,2.25,5.0,2.0,9615394.01923077,98058066.53901143,1.0,4.25,999999999.0,0.0,0.5288461538461539,1.3791564240944485,0.0,1.0,13.0,1.0,1.5961538461538463,1.6576930441214843,1.0,1.0,13.0
25,yank,1033,2.0,2.760890609874153,2.975341160270356,1.0,3.0,31.0,2.0,2.760890609874153,2.975341160270356,1.0,3.0,31.0,2.0,2.760890609874153,2.975341160270356,1.0,3.0,31.0,1.0,1.1606969990319458,1.2386399683063463,0.0,2.0,6.0,2.0,2272.997095837367,52619.51338911414,1.0,4.0,1645057.0,0.0,0.34462729912875123,0.7052630780178952,0.0,1.0,6.0,1.0,1.442400774443369,1.4840309023295866,1.0,1.0,24.0
26,pyscf,328,2.5,3.7713414634146343,3.6880875304528287,1.0,5.0,31.0,2.5,3.7713414634146343,3.6880875304528287,1.0,5.0,31.0,2.5,3.7713414634146343,3.6880875304528287,1.0,5.0,31.0,1.0,1.4298780487804879,1.3572629355485688,0.0,2.0,6.0,2.5,5907.762195121952,106264.05470358851,1.0,7.25,1924560.0,0.0,0.5792682926829268,0.8421957329324065,0.0,1.0,6.0,1.0,1.798780487804878,1.9034167830871902,1.0,1.0,12.0
27,mdtraj,61436,1.0,3.0160980532586756,6.8482238633541295,1.0,3.0,590.0,1.0,3.0160980532586756,6.8482238633541295,1.0,3.0,590.0,1.0,3.0160980532586756,6.8482238633541295,1.0,3.0,590.0,1.0,0.984536753694902,1.3523733386918448,0.0,2.0,14.0,1.0,2134605.487189921,44502767.773313925,1.0,3.0,999999999.0,0.0,-139818.85500358097,17327575.165265042,0.0,0.0,78.0,1.0,1.5455758838466045,2.588444900187355,1.0,1.0,212.0
28,cctools,6319,3.0,6.9541066624465895,27.24698185286863,2.0,6.0,1159.0,3.0,6.42965659123279,20.77784055612651,2.0,6.0,819.0,3.0,7.83620826080076,29.964507535798415,2.0,7.0,1209.0,1.0,1.4592498813103338,1.3752467817585197,0.0,2.0,13.0,3.0,8393986.774331382,89706236.3454015,1.0,8.0,999999999.0,0.0,0.7328691248615288,1.6647226593544822,0.0,1.0,38.0,1.0,3.4644722266181356,12.885129216457177,1.0,3.0,532.0
29,openforcefield,328,2.5,3.7713414634146343,3.6880875304528287,1.0,5.0,31.0,2.5,3.7713414634146343,3.6880875304528287,1.0,5.0,31.0,2.5,3.7713414634146343,3.6880875304528287,1.0,5.0,31.0,1.0,1.4298780487804879,1.3572629355485688,0.0,2.0,6.0,2.5,5907.762195121952,106264.05470358851,1.0,7.25,1924560.0,0.0,0.5792682926829268,0.8421957329324065,0.0,1.0,6.0,1.0,1.798780487804878,1.9034167830871902,1.0,1.0,12.0
30,quantum_package,979,5.0,9.531154239019408,16.0491257524803,2.0,10.0,193.0,5.0,9.475995914198162,16.04423161139178,2.0,10.0,193.0,5.0,9.531154239019408,16.0491257524803,2.0,10.0,193.0,2.0,2.27170582226762,2.67949233877139,1.0,3.0,51.0,6.0,22579558.193054136,143688592.83437902,2.0,64.5,999999999.0,1.0,1.6036772216547497,2.878278207838825,0.0,2.0,36.0,1.0,3.9785495403472932,7.11406837577211,1.0,4.0,84.0
31,pymatgen,8105,1.0,2.531400370141888,4.378617649775647,1.0,3.0,109.0,1.0,2.531400370141888,4.378617649775647,1.0,3.0,109.0,1.0,2.531400370141888,4.378617649775647,1.0,3.0,109.0,0.0,0.8773596545342381,1.3337490070091176,0.0,1.0,11.0,1.0,953760.9466995682,29821375.855264332,1.0,3.0,999999999.0,0.0,0.2809376927822332,0.7639218632949294,0.0,0.0,17.0,1.0,1.4391116594694633,1.93936342750457,1.0,1.0,52.0
32,mast,2067,2.0,5.345911949685535,11.605271212712237,1.0,6.0,288.0,2.0,5.345911949685535,11.605271212712237,1.0,6.0,288.0,2.0,5.345911949685535,11.605271212712237,1.0,6.0,288.0,1.0,1.5486211901306242,1.7295148095556594,0.0,2.0,11.0,2.0,8519815.844218675,90146868.89066225,1.0,12.0,999999999.0,0.0,0.8567972907595549,2.3343070386020353,0.0,1.0,60.0,1.0,1.521528785679729,1.62979755259895,1.0,1.0,23.0
33,scirun,49006,1.0,2.638146349426601,5.8569559718409785,1.0,2.0,512.0,1.0,2.582908215320573,5.655646829994697,1.0,2.0,512.0,1.0,2.9496592254009713,7.822044838580959,1.0,2.0,885.0,0.0,0.5680528914826756,1.0447447315320517,0.0,1.0,15.0,1.0,1189354.5530343223,33086507.41838302,1.0,2.0,999999999.0,0.0,0.2206464514549239,0.7957025416899906,0.0,0.0,46.0,1.0,1.3850140799085826,2.227164175830132,1.0,1.0,132.0
34,signac,1150,1.0,2.471304347826087,3.047713555151527,1.0,3.0,32.0,1.0,2.471304347826087,3.047713555151527,1.0,3.0,32.0,1.0,2.471304347826087,3.047713555151527,1.0,3.0,32.0,1.0,1.0191304347826087,1.221214824987113,0.0,2.0,7.0,1.0,26996.45913043478,837818.0017384903,1.0,3.0,28311552.0,0.0,0.28608695652173916,0.6602458803696728,0.0,0.0,7.0,1.0,1.5304347826086957,1.6752004628127615,1.0,1.0,19.0
35,signac_flow,602,1.0,2.6196013289036544,3.1027572688523137,1.0,3.0,42.0,1.0,2.6196013289036544,3.1027572688523137,1.0,3.0,42.0,1.0,2.6196013289036544,3.1027572688523137,1.0,3.0,42.0,1.0,1.149501661129568,1.3283951575765311,0.0,2.0,7.0,1.0,151716.65780730898,3721708.905151582,1.0,4.0,91314720.0,0.0,0.3289036544850498,0.6860592771767366,0.0,1.0,8.0,1.0,1.4983388704318936,1.3654266420887806,1.0,1.0,11.0
36,luigi,4372,1.0,1.542772186642269,1.494671508891377,1.0,2.0,30.0,1.0,1.542772186642269,1.494671508891377,1.0,2.0,30.0,1.0,1.542772186642269,1.494671508891377,1.0,2.0,30.0,0.0,0.47186642268984447,0.820345772218358,0.0,1.0,6.0,1.0,16610.57227813358,651538.215419805,1.0,2.0,28311552.0,0.0,0.09172003659652334,0.3687086498574529,0.0,0.0,7.0,1.0,1.1452424519670632,0.6978692679966063,1.0,1.0,12.0
37,parsl,833,1.0,1.9903961584633854,1.6983883654762904,1.0,2.0,23.0,1.0,1.9903961584633854,1.6983883654762904,1.0,2.0,23.0,1.0,1.9903961584633854,1.6983883654762904,1.0,2.0,23.0,1.0,0.8463385354141657,1.0932107640702695,0.0,1.0,6.0,1.0,9.58343337334934,158.5426509717183,1.0,2.0,4416.0,0.0,0.1716686674669868,0.42240636842595536,0.0,0.0,4.0,1.0,1.1656662665066027,0.8598538387801794,1.0,1.0,11.0
38,rmg-py,3824,1.0,3.4484832635983262,7.331824488334023,1.0,3.0,159.0,1.0,3.4484832635983262,7.331824488334023,1.0,3.0,159.0,1.0,3.4484832635983262,7.331824488334023,1.0,3.0,159.0,0.0,1.0363493723849373,1.4668672622509822,0.0,2.0,10.0,1.0,3825846.1229079496,57917765.34071564,1.0,4.0,999999999.0,0.0,0.46129707112970714,1.4225374725182451,0.0,1.0,32.0,1.0,1.6908995815899581,2.6709236106026975,1.0,1.0,59.0
39,hydroshare,3476,1.0,2.7140391254315306,4.019726712879688,1.0,3.0,59.0,1.0,2.7140391254315306,4.019726712879688,1.0,3.0,59.0,1.0,2.7140391254315306,4.019726712879688,1.0,3.0,59.0,0.0,0.9277905638665133,1.3954577322351325,0.0,1.0,10.0,1.0,772585.2894131185,25366992.867366664,1.0,3.0,999999999.0,0.0,0.3291139240506329,0.8278417238092354,0.0,0.0,14.0,1.0,1.5817031070195626,2.141457603348034,1.0,1.0,31.0
40,taudem,231,5.0,12.012987012987013,15.674815169697487,1.5,17.5,128.0,5.0,11.96103896103896,15.694730402084886,1.5,17.5,128.0,7.0,14.095238095238095,19.986941906927388,1.5,19.0,157.0,2.0,2.5974025974025974,2.54144638855638,0.0,4.0,10.0,6.0,29051927.242424242,161900180.392263,1.0,140.0,999999999.0,1.0,1.8571428571428572,2.8163233157138654,0.0,2.0,25.0,1.0,4.021645021645021,5.568893331202535,1.0,4.0,30.0
41,goofit,1164,1.0,1.661512027491409,2.9280033399493606,1.0,1.0,53.0,1.0,1.6529209621993126,2.9175809584225285,1.0,1.0,53.0,1.0,1.697594501718213,2.994628792233112,1.0,1.0,53.0,0.0,0.28264604810996563,0.7049813241410275,0.0,0.0,5.0,1.0,860016.0859106529,29310504.016842928,1.0,1.0,999999999.0,0.0,0.11597938144329897,0.5741214706236716,0.0,0.0,12.0,1.0,1.1348797250859106,1.1484124460804856,1.0,1.0,26.0
42,changa,1745,1.0,3.1106017191977076,5.950370712961618,1.0,3.0,86.0,1.0,3.01432664756447,5.655974445049827,1.0,3.0,86.0,1.0,3.430372492836676,6.99425510727661,1.0,3.0,97.0,0.0,0.6888252148997135,1.172122695031489,0.0,1.0,8.0,1.0,2262981.0143266474,46358665.65377085,1.0,2.0,999999999.0,0.0,0.3616045845272206,1.1274381091160735,0.0,0.0,18.0,1.0,1.3925501432664757,1.777810340116663,1.0,1.0,31.0
43,metpy,1202,1.0,1.7063227953410982,1.8078678879772134,1.0,1.0,18.0,1.0,1.7063227953410982,1.8078678879772134,1.0,1.0,18.0,1.0,1.7063227953410982,1.8078678879772134,1.0,1.0,18.0,0.0,0.5324459234608985,0.9185091860637276,0.0,1.0,5.0,1.0,5.309484193011647,32.52876613161232,1.0,1.0,540.0,0.0,0.13810316139767054,0.40713339092773426,0.0,0.0,3.0,1.0,1.1530782029950084,0.7479272555254292,1.0,1.0,8.0
44,elasticsearch,105451,1.0,1.6619377720457842,2.2279431914334618,1.0,1.0,212.0,1.0,1.6315729580563485,2.088005078106073,1.0,1.0,212.0,1.0,1.7604005651914159,2.8113504964423455,1.0,2.0,429.0,0.0,0.3489488008648567,0.777850870668213,0.0,0.0,11.0,1.0,39220.439246664326,6161723.3294742415,1.0,1.0,999999999.0,0.0,0.10079563019791182,0.3795088444076828,0.0,0.0,12.0,1.0,1.10875193217703,1.029442495945707,1.0,1.0,212.0
45,galaxy,16464,1.0,2.673044217687075,3.621017204740155,1.0,3.0,91.0,1.0,2.673044217687075,3.621017204740155,1.0,3.0,91.0,1.0,2.673044217687075,3.621017204740155,1.0,3.0,91.0,1.0,1.0705174927113703,1.4516678130368819,0.0,2.0,14.0,1.0,602327.4388969874,22919071.887607332,1.0,3.0,999999999.0,0.0,0.304178814382896,0.724048785540019,0.0,0.0,16.0,1.0,1.522837706511176,1.7325840112478865,1.0,1.0,37.0
46,abaco,1104,1.0,2.1322463768115942,2.737651253741587,1.0,2.0,50.0,1.0,2.1322463768115942,2.737651253741587,1.0,2.0,50.0,1.0,2.1322463768115942,2.737651253741587,1.0,2.0,50.0,0.0,0.740036231884058,1.0432142248376644,0.0,1.0,8.0,1.0,905917.2717391305,30096459.69559482,1.0,2.0,999999999.0,0.0,0.20380434782608695,0.6164443577342148,0.0,0.0,11.0,1.0,1.4528985507246377,1.661671466394058,1.0,1.0,23.0
47,cyclus,5153,1.0,2.4094702115272657,4.146249564722962,1.0,2.0,109.0,1.0,2.3440714147098776,4.017550815348222,1.0,2.0,109.0,1.0,2.5315350281389484,4.3504998454059525,1.0,2.0,109.0,0.0,0.5156219677857559,0.9242455828601928,0.0,1.0,7.0,1.0,197171.81176013974,13931662.742602391,1.0,2.0,999999999.0,0.0,0.2000776246846497,0.6061153111172447,0.0,0.0,16.0,1.0,1.3093343683291288,1.4456322775341175,1.0,1.0,23.0
48,irods,4700,3.0,5.600851063829787,18.69591338765082,1.0,6.0,822.0,3.0,5.511063829787234,18.594520932250564,1.0,5.0,822.0,3.0,6.389787234042553,24.144586066972497,1.0,6.0,1085.0,1.0,1.2625531914893617,1.4089376159805924,0.0,2.0,17.0,3.0,4753729.855319149,66845329.03102968,1.0,7.0,999999999.0,0.0,0.7170212765957447,3.3960293245183215,0.0,1.0,165.0,1.0,3.5561702127659576,10.159801814082408,1.0,4.0,420.0
49,learnsphere,1194,1.0,3.135678391959799,6.389693352611254,1.0,2.0,94.0,1.0,3.0753768844221105,6.21918833161603,1.0,2.0,94.0,1.0,3.724455611390285,8.122818020051886,1.0,3.0,110.0,0.0,0.7847571189279732,1.355403510118908,0.0,1.0,8.0,1.0,1739425.9631490787,40920566.32520309,1.0,2.0,999999999.0,0.0,0.3458961474036851,1.1718065845177237,0.0,0.0,24.0,1.0,1.536850921273032,2.547269556936383,1.0,1.0,30.0
50,orca,12340,1.0,2.2909238249594814,3.2688087900548948,1.0,2.0,76.0,1.0,2.26580226904376,3.2186970063671763,1.0,2.0,76.0,1.0,2.4467585089141006,3.741765904878056,1.0,2.0,84.0,0.0,0.6876823338735818,1.1418668631318052,0.0,1.0,14.0,1.0,606029.9760940032,23633848.144934278,1.0,2.0,999999999.0,0.0,0.22042139384116693,0.6225660156618258,0.0,0.0,14.0,1.0,1.2958670988654781,1.3455189946425312,1.0,1.0,30.0
51,radical-pilot,1507,1.0,2.994027869940279,3.6419193466872946,1.0,4.0,47.0,1.0,2.994027869940279,3.6419193466872946,1.0,4.0,47.0,1.0,2.994027869940279,3.6419193466872946,1.0,4.0,47.0,1.0,1.1260783012607831,1.3674369746555102,0.0,2.0,7.0,1.0,666095.8035832781,25759836.652266882,1.0,4.0,999999999.0,0.0,0.4167219641672196,0.8453837646284288,0.0,1.0,12.0,1.0,1.6124751161247513,1.726614852771743,1.0,1.0,15.0
52,keplerproject,43,1.0,2.2790697674418605,2.1748079433032026,1.0,2.0,11.0,1.0,2.2325581395348837,2.158451928740172,1.0,2.0,11.0,1.0,2.3488372093023258,2.2560365681162486,1.0,2.5,11.0,0.0,0.627906976744186,0.8171744528426824,0.0,1.0,3.0,1.0,25.906976744186046,155.84436894260406,1.0,2.0,1024.0,0.0,0.23255813953488372,0.5705974021574557,0.0,0.0,3.0,1.0,1.627906976744186,1.5587427139472052,1.0,1.0,8.0
53,trellis,2978,1.0,1.1467427803895232,0.6424867200272808,1.0,1.0,9.0,1.0,1.1457353928811282,0.6382581581796656,1.0,1.0,9.0,1.0,1.2780389523169913,0.8758668142736249,1.0,1.0,10.0,0.0,0.16218938885157824,0.4416441497213562,0.0,0.0,4.0,1.0,1.1541302887844191,0.8816904011819737,1.0,1.0,22.0,0.0,0.0157824042981867,0.12465367138213146,0.0,0.0,1.0,1.0,1.058428475486904,0.4473763494044761,1.0,1.0,8.0
54,xenon,2633,1.0,1.4774022028104823,1.5087013869634842,1.0,1.0,33.0,1.0,1.4584124572730726,1.3430695918672855,1.0,1.0,15.0,1.0,1.5708317508545386,1.77013384070434,1.0,1.0,33.0,0.0,0.2745917204709457,0.6365483797037423,0.0,0.0,5.0,1.0,11.726547664261298,243.30482893908072,1.0,1.0,8192.0,0.0,0.08241549563235853,0.34270282606631175,0.0,0.0,4.0,1.0,1.0957083175085454,0.7406667250280463,1.0,1.0,28.0
